"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cardealership.com","FirstLinkDate_cardealership.com","LastLinkDate_cardealership.com"
357,"aboutjiewu.com",46,-1,1,4,257,467,367,30/05/2012 00:00,08/08/2013 00:00,"97.74.47.1","97.74.47.0","US","com",12,20,4,01/12/2011 00:00,23/12/2011 00:00
358,"newtab.org",114,-1,1,4,6163,804,523,12/10/2011 00:00,07/02/2013 00:00,"173.192.107.191","173.192.107.0","US","org",9,13,4,30/11/2011 00:00,07/01/2012 00:00
359,"propertywatford.com",9,-1,1,4,11,337802,337801,05/11/2009 00:00,20/07/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,4,24/10/2011 00:00,24/10/2011 00:00
360,"cobatan.com",0,-1,1,4,0,969804,969804,13/09/2008 00:00,07/07/2013 00:00,"67.215.66.132","67.215.66.0","US","com",0,0,4,21/02/2009 00:00,30/11/2009 00:00
361,"allhybrids.biz",856,-1,1,4,13002,26560,25537,07/10/2008 00:00,10/08/2013 00:00,"72.46.145.126","72.46.145.0","US","biz",24,4,4,14/11/2008 00:00,06/07/2013 00:00
362,"local-attorney.com",6879,-1,1,4,183733,86831,38688,24/01/2008 00:00,17/07/2013 00:00,"207.7.94.9","207.7.94.0","US","com",24,5,4,26/11/2011 00:00,27/01/2012 00:00
363,"militarycardealers.com",24,-1,1,4,34742,8471,7456,14/02/2013 00:00,10/08/2013 00:00,"209.90.101.7","209.90.101.0","US","com",17,19,4,15/06/2013 00:00,15/06/2013 00:00
364,"project365.it",36,-1,1,4,85,63,21,15/06/2012 00:00,03/07/2012 00:00,"46.252.157.14","46.252.157.0","IT","it",7,0,4,15/06/2012 00:00,15/06/2012 00:00
365,"ardglass.com",28,-1,1,4,45,721964,721964,07/12/2009 00:00,13/02/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",0,0,4,07/08/2010 00:00,16/11/2011 00:00
366,"medicalmarijuanamissouri.net",351,-1,1,4,4751,4558,3804,17/12/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",25,4,4,09/03/2013 00:00,21/07/2013 00:00
367,"askthenet.com",209,-1,1,4,1026,964722,259365,17/09/2009 00:00,10/02/2013 00:00,"82.98.86.161","82.98.86.0","DE","com",7,7,4,15/11/2011 00:00,23/05/2012 00:00
368,"propertywindsor.com",26,-1,1,4,2430,651698,651697,22/12/2008 00:00,28/07/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,4,16/11/2011 00:00,16/11/2011 00:00
369,"lexuslfa.net",379,-1,1,4,1568,1896,1686,09/09/2010 00:00,31/07/2013 00:00,"184.171.240.70","184.171.240.0","US","net",22,2,4,01/10/2010 00:00,17/10/2010 00:00
370,"cfdsforex.com",9,-1,1,4,10,515312,515312,04/04/2008 00:00,28/06/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,4,18/03/2009 00:00,28/05/2009 00:00
371,"lvhotline.com",1388,-1,1,4,18520,37573,29007,10/01/2008 00:00,10/08/2013 00:00,"216.131.83.131","216.131.83.0","US","com",18,3,4,04/02/2008 00:00,08/07/2013 00:00
372,"belfastcitycentre.com",25,-1,1,4,3210,882157,882157,17/08/2008 00:00,05/06/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",0,0,4,15/11/2011 00:00,15/11/2011 00:00
373,"bellvue.net",28,-1,1,4,48,269274,269273,10/08/2010 00:00,25/07/2013 00:00,"82.98.86.167","82.98.86.0","DE","net",0,0,4,19/12/2011 00:00,19/12/2011 00:00
374,"bookmarkcity.com",455,-1,1,4,10305,313573,95836,21/09/2009 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",15,8,4,28/11/2011 00:00,28/11/2011 00:00
375,"propertydd.com",1,-1,1,4,1,283980,283980,23/08/2008 00:00,10/08/2013 00:00,"50.63.202.58","50.63.202.0","US","com",0,0,4,22/03/2009 00:00,26/03/2009 00:00
376,"automobile.com",33936,-1,1,4,1215982,1708803,692992,10/01/2008 00:00,10/08/2013 00:00,"74.81.89.30","74.81.89.0","US","com",49,33,4,19/01/2008 00:00,19/02/2008 00:00
377,"searchgame.co.uk",24,-1,1,4,1225,711930,711930,18/02/2010 00:00,12/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","uk",0,0,4,11/10/2011 00:00,22/11/2011 00:00
378,"maroc-referencement.com",329,-1,1,4,5651,1414088,41548,28/05/2008 00:00,27/07/2013 00:00,"66.147.240.154","66.147.240.0","US","com",8,6,4,17/11/2008 00:00,27/12/2008 00:00
379,"dublindocklands.net",25,-1,1,4,3663,822335,822335,23/04/2009 00:00,08/06/2012 00:00,"204.13.160.107","204.13.160.0","US","net",0,0,4,16/10/2011 00:00,16/10/2011 00:00
380,"buzzerfly.com",985,-1,1,4,3926,89404,68179,17/01/2008 00:00,10/08/2013 00:00,"173.255.195.74","173.255.195.0","US","com",19,11,4,11/05/2008 00:00,06/06/2013 00:00
381,"thecelebritynews.co.uk",386,-1,1,4,4533,193462,63179,09/09/2010 00:00,26/03/2013 00:00,"50.63.202.21","50.63.202.0","US","uk",9,9,4,18/11/2011 00:00,24/11/2011 00:00
382,"penthousedocklands.com",24,-1,1,4,2125,310676,310676,30/09/2008 00:00,12/02/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",0,0,4,13/10/2010 00:00,05/12/2011 00:00
383,"pcwaver.com",41,-1,1,4,8283,39205,33482,10/02/2008 00:00,10/08/2013 00:00,"67.20.113.241","67.20.113.0","US","com",23,22,4,10/03/2013 00:00,10/03/2013 00:00
384,"originalmagazineads.com",3148,-1,1,4,59441,35204,20631,27/09/2008 00:00,22/01/2013 00:00,"192.31.186.145","192.31.186.0","US","com",16,6,4,21/11/2011 00:00,01/02/2012 00:00
385,"bradyleepolygraph.com",413,-1,1,4,30502,49880,9056,06/01/2011 00:00,26/05/2013 00:00,"74.54.144.99","74.54.144.0","US","com",6,0,4,25/12/2011 00:00,20/08/2012 00:00
386,"jordanstown.net",15,-1,1,4,25,1084355,1084354,02/07/2009 00:00,12/02/2013 00:00,"212.100.243.206","212.100.243.0","UK","net",0,0,4,26/06/2010 00:00,17/10/2011 00:00
387,"mydealerreviews.com",243,-1,1,4,19084,47433,18045,02/08/2010 00:00,30/06/2013 00:00,"192.217.122.8","192.217.122.0","US","com",7,1,4,24/10/2010 00:00,24/10/2010 00:00
388,"nice-plastic.com",10731,-1,1,4,97034,21794,19610,27/07/2012 00:00,10/08/2013 00:00,"64.120.157.183","64.120.157.0","US","com",42,12,4,27/05/2012 00:00,27/05/2012 00:00
389,"ukproperty.net",9,-1,1,4,12,1169466,1169466,13/06/2009 00:00,27/07/2013 00:00,"82.98.86.175","82.98.86.0","DE","net",0,0,4,14/10/2011 00:00,14/10/2011 00:00
390,"mywebclassifieds.com",260,-1,1,4,6246,3701,3546,10/10/2009 00:00,04/02/2013 00:00,"174.120.9.60","174.120.9.0","US","com",7,8,4,19/11/2009 00:00,19/11/2009 00:00
391,"clipclip.org",28352,-1,1,4,7655307,7503696,1909430,21/01/2008 00:00,18/07/2013 00:00,"46.4.116.72","46.4.116.0","DE","org",36,21,4,08/11/2011 00:00,08/11/2011 00:00
392,"searchenginecanada.com",3,-1,1,4,5,807260,807260,16/09/2008 00:00,14/02/2013 00:00,"50.63.202.90","50.63.202.0","US","com",0,0,4,29/01/2009 00:00,29/01/2009 00:00
393,"las1k.com",0,-1,1,4,0,373650,373650,12/01/2008 00:00,14/06/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,4,08/04/2009 00:00,08/05/2009 00:00
394,"secretsofflatabs.com",190,-1,1,4,3570,1735,1198,21/09/2010 00:00,04/08/2013 00:00,"173.236.10.26","173.236.10.0","US","com",11,0,4,21/11/2011 00:00,05/12/2011 00:00
395,"nerdstickers.net",1123,-1,1,4,38429,66343,19515,30/09/2010 00:00,11/02/2013 00:00,"208.87.34.15","208.87.34.0","BS","net",10,9,4,17/11/2011 00:00,17/11/2011 00:00
396,"lasvegascarlistings.com",1462,-1,1,4,3233,2389,966,08/04/2011 00:00,25/11/2011 00:00,"205.234.217.172","205.234.217.0","US","com",0,0,4,14/02/2011 00:00,08/05/2012 00:00
397,"bestlasvegascars.com",38,-1,1,4,146145,31904,4444,23/03/2008 00:00,30/06/2008 00:00,"81.200.64.50","81.200.64.0","UK","com",4,0,4,23/03/2008 00:00,23/03/2008 00:00
398,"ccocr2010.org",219,-1,1,4,871,3773,2410,09/12/2009 00:00,26/02/2013 00:00,"50.97.101.209","50.97.101.0","US","org",8,2,4,19/12/2011 00:00,16/05/2012 00:00
399,"iphonemv.info",130,-1,1,4,647,10681,4344,11/10/2011 00:00,29/07/2013 00:00,"174.120.16.7","174.120.16.0","US","info",9,2,4,30/11/2011 00:00,30/11/2011 00:00
400,"dollarchurn.info",1480,-1,1,4,39951,42533,6170,02/05/2011 00:00,10/08/2013 00:00,"72.167.183.166","72.167.183.0","US","info",31,4,4,24/11/2011 00:00,24/11/2011 00:00
401,"propertyoxford.net",33,-1,1,4,5955,715672,715672,29/09/2008 00:00,25/06/2013 00:00,"82.98.86.172","82.98.86.0","DE","net",0,0,4,05/06/2010 00:00,17/10/2011 00:00
402,"newrycity.net",20,-1,1,4,6502,1200273,1200273,07/06/2009 00:00,07/08/2013 00:00,"82.98.86.173","82.98.86.0","DE","net",0,0,4,01/06/2010 00:00,07/11/2011 00:00
403,"resourcemeka.com",5,-1,1,4,237,1056686,1056686,23/10/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,4,12/12/2009 00:00,13/09/2010 00:00
404,"newcarinfos.net",1895,-1,1,4,85980,92227,74345,29/09/2008 00:00,10/08/2013 00:00,"72.46.157.102","72.46.157.0","US","net",23,6,4,30/10/2008 00:00,06/01/2013 00:00
405,"kluc.com",3006,-1,1,4,37296,7687,6840,19/01/2008 00:00,20/03/2010 00:00,"64.30.236.59","64.30.236.0","US","com",17,21,4,14/02/2009 00:00,14/02/2009 00:00
406,"gasta.tv",126,-1,1,4,59512,1353049,1353049,25/01/2008 00:00,22/07/2013 00:00,"91.210.235.70","91.210.235.0","IE","tv",0,0,4,28/01/2010 00:00,23/02/2010 00:00
407,"dlpalace.org",79,-1,1,4,2131,900,840,05/07/2010 00:00,31/01/2012 00:00,"27.54.86.177","27.54.86.0","AU","org",5,0,4,30/11/2011 00:00,30/11/2011 00:00
408,"searchhonda.com",2,-1,1,4,2,820481,820481,19/05/2008 00:00,05/02/2013 00:00,"193.28.89.11","193.28.89.0","FI","com",0,0,4,22/02/2009 00:00,02/08/2009 00:00
409,"mygreatclock.com",107,-1,1,4,964,4778,1695,21/06/2012 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",16,0,4,21/06/2012 00:00,21/06/2012 00:00
410,"av.by",4727,13076,1,3,28186441,5257689,1462216,20/01/2008 00:00,10/08/2013 00:00,"86.57.246.98","86.57.246.0","BY","by",43,31,3,14/08/2012 00:00,21/12/2012 00:00
411,"killerstartups.com",45899,14985,1,3,7907994,2836348,1285586,23/01/2008 00:00,10/08/2013 00:00,"184.73.224.148","184.73.224.0","US","com",56,37,3,16/02/2010 00:00,16/02/2010 00:00
412,"eniro.dk",19242,74498,1,3,37683310,273130982,3122884,23/01/2008 00:00,10/08/2013 00:00,"80.69.225.152","80.69.225.0","SE","dk",42,47,3,03/05/2010 00:00,03/05/2010 00:00
413,"automotivedigitalmarketing.com",4652,99810,1,3,1209052,1481356,547502,26/06/2008 00:00,10/08/2013 00:00,"208.82.16.68","208.82.16.0","US","com",42,22,3,02/12/2009 00:00,20/03/2012 00:00
414,"ballarat.edu.au",31984,141446,1,3,626999,6827231,1165537,09/01/2008 00:00,10/08/2013 00:00,"141.132.88.207","141.132.88.0","AU","au",47,62,3,20/12/2011 00:00,28/01/2012 00:00
415,"dropyourlink.com",2970,243084,1,3,187117,578930,83669,11/09/2010 00:00,10/08/2013 00:00,"97.74.42.79","97.74.42.0","US","com",16,9,3,12/11/2011 00:00,12/11/2011 00:00
416,"octomatic.com",3577,246640,1,3,3556239,222082,41132,07/01/2009 00:00,10/08/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",22,15,3,02/01/2012 00:00,02/01/2012 00:00
417,"lexormedia.com",1854,250217,1,3,31108,158769,78014,25/12/2008 00:00,31/07/2013 00:00,"108.162.197.179","108.162.197.0","US","com",23,13,3,12/03/2012 00:00,05/04/2013 00:00
418,"7live7.com",6587,273977,1,3,134336096,35142961,1477564,21/01/2009 00:00,04/09/2012 00:00,"216.8.179.25","216.8.179.0","CA","com",15,9,3,18/04/2010 00:00,18/04/2010 00:00
419,"msnbusinessdirectory.com",937,283323,1,3,1561362,72685,44039,14/03/2010 00:00,10/08/2013 00:00,"174.122.30.139","174.122.30.0","US","com",34,23,3,03/07/2013 00:00,07/07/2013 00:00
420,"abc.net",6626,348761,1,3,535532,5432291,1300144,21/01/2008 00:00,10/08/2013 00:00,"209.105.242.150","209.105.242.0","US","net",30,43,3,28/08/2009 00:00,16/01/2011 00:00
421,"globalautosports.com",2928,384426,1,3,158009,444815,197857,19/01/2008 00:00,10/08/2013 00:00,"206.71.154.11","206.71.154.0","US","com",36,13,3,21/09/2008 00:00,27/01/2013 00:00
422,"mygitar.com",2360,540513,1,3,751776,2334083,651837,09/01/2008 00:00,10/08/2013 00:00,"77.79.86.102","77.79.86.0","TR","com",30,13,3,26/03/2013 00:00,26/03/2013 00:00
423,"onlinelinksdirectory.com",973,695156,1,3,84293,108293,28570,04/09/2010 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","com",12,25,3,05/09/2012 00:00,05/09/2012 00:00
424,"bizshark.com",5305,769137,1,3,82860,3580842,804183,21/05/2009 00:00,08/08/2013 00:00,"141.101.125.18","141.101.125.0","EU","com",24,23,3,01/09/2009 00:00,01/09/2009 00:00
425,"wizkeep.com",1209,856075,1,3,36178,1113229,476409,16/09/2009 00:00,10/08/2013 00:00,"67.215.66.132","67.215.66.0","US","com",14,11,3,05/03/2012 00:00,30/09/2012 00:00
426,"nationallemonlawcenter.com",1257,-1,1,3,18085,145711,126170,05/02/2008 00:00,10/08/2013 00:00,"216.87.172.190","216.87.172.0","US","com",35,29,3,23/11/2009 00:00,27/03/2013 00:00
427,"healthanarchy.com",19,-1,1,3,23,1045,477,29/10/2010 00:00,05/08/2013 00:00,"184.168.221.33","184.168.221.0","US","com",6,0,3,29/11/2011 00:00,29/11/2011 00:00
428,"i33.co",2639,-1,1,3,1001139,191264,123409,26/09/2010 00:00,05/04/2013 00:00,"68.178.232.100","68.178.232.0","US","co",13,2,3,04/11/2010 00:00,06/01/2011 00:00
429,"naturesgrasp.com",1126,-1,1,3,9591,155173,138329,21/09/2008 00:00,24/12/2009 00:00,"69.43.161.180","69.43.161.0","US","com",11,3,3,13/06/2009 00:00,23/10/2009 00:00
430,"pinbud.us",0,-1,1,3,0,59105,59104,17/07/2012 00:00,17/07/2013 00:00,"109.163.236.171","109.163.236.0","DE","us",0,0,3,06/02/2013 00:00,01/03/2013 00:00
431,"watchthejewelry.com",7,-1,1,3,7,888984,888983,25/02/2008 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,3,18/01/2009 00:00,11/02/2009 00:00
432,"westbelfastonline.com",12,-1,1,3,16,1087358,1087357,11/06/2009 00:00,28/01/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",0,0,3,18/07/2010 00:00,18/07/2010 00:00
433,"zba.vg",2589,-1,1,3,999629,151128,142266,26/09/2010 00:00,13/02/2013 00:00,"66.160.134.66","66.160.134.0","US","vg",11,1,3,14/11/2010 00:00,23/12/2010 00:00
434,"omelhorblogdomundo.com",48,-1,1,3,5398,308,199,28/05/2010 00:00,20/08/2012 00:00,"189.38.80.52","189.38.80.0","BR","com",7,0,3,20/11/2011 00:00,20/11/2011 00:00
435,"southarmagh.com",10,-1,1,3,19,637813,637812,11/01/2008 00:00,12/02/2013 00:00,"82.98.86.175","82.98.86.0","DE","com",0,0,3,19/10/2011 00:00,19/10/2011 00:00
436,"200i.co",2539,-1,1,3,998254,152013,141821,26/09/2010 00:00,14/02/2013 00:00,"66.160.173.199","66.160.173.0","US","co",9,2,3,08/10/2010 00:00,06/11/2010 00:00
437,"skywalkgroup.com",482,-1,1,3,3935,142830,28250,20/12/2008 00:00,10/08/2013 00:00,"97.64.150.65","97.64.150.0","US","com",24,12,3,21/11/2011 00:00,27/11/2011 00:00
438,"labolsahoy.com",0,-1,1,3,0,245573,245573,06/11/2008 00:00,11/11/2009 00:00,"","","","com",0,0,3,20/03/2009 00:00,20/03/2009 00:00
439,"jwvegas.com",18,-1,1,3,4733,13251,9685,19/01/2008 00:00,10/08/2013 00:00,"67.20.113.241","67.20.113.0","US","com",13,3,3,14/07/2013 00:00,14/07/2013 00:00
440,"superairportparking.com",2,-1,1,3,3,772685,772685,14/02/2008 00:00,06/10/2010 00:00,"208.73.211.152","208.73.211.0","US","com",0,0,3,19/02/2009 00:00,19/02/2009 00:00
441,"tarif-infos.com",144,-1,1,3,2276,882,720,22/09/2008 00:00,26/02/2013 00:00,"208.73.210.155","208.73.210.0","US","com",10,5,3,26/11/2011 00:00,26/11/2011 00:00
442,"joanneshotagua.com",272,-1,1,3,2182,2319,1385,03/01/2010 00:00,07/08/2013 00:00,"162.144.90.118","162.144.90.0","US","com",11,7,3,21/11/2011 00:00,21/11/2011 00:00
443,"robertstermscheg.com",67,-1,1,3,191,219,195,14/04/2012 00:00,10/08/2013 00:00,"66.147.242.190","66.147.242.0","US","com",17,9,3,22/11/2011 00:00,23/02/2012 00:00
444,"tdcshop.com",93,-1,1,3,1046,8042,6110,02/12/2009 00:00,11/02/2012 00:00,"107.20.206.69","107.20.206.0","US","com",7,11,3,17/11/2011 00:00,17/11/2011 00:00
445,"wildhogs.se",130,-1,1,3,23864,2225,1793,15/06/2012 00:00,10/08/2013 00:00,"46.30.211.53","46.30.211.0","DK","se",21,2,3,22/07/2013 00:00,09/08/2013 00:00
446,"techappz32.com",2207,-1,1,3,72828,296590,77531,26/10/2010 00:00,15/09/2012 00:00,"64.74.223.38","64.74.223.0","US","com",10,6,3,23/11/2011 00:00,23/11/2011 00:00
447,"retirementcommunitiesaz.com",542,-1,1,3,3265,11280,1559,01/10/2010 00:00,09/08/2013 00:00,"173.225.25.42","173.225.25.0","US","com",24,3,3,09/12/2011 00:00,13/02/2012 00:00
448,"phone-cell.co.cc",65,-1,1,3,761,5182,3186,08/04/2009 00:00,16/12/2011 00:00,"209.190.24.3","209.190.24.0","US","cc",5,0,3,17/11/2011 00:00,17/11/2011 00:00
449,"isearchoz.com",160,-1,1,3,106276,873390,873390,19/11/2009 00:00,13/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","com",0,0,3,13/11/2011 00:00,13/11/2011 00:00
450,"anbpr.org.ro",4246,-1,1,3,73136,82794,29172,30/01/2008 00:00,10/08/2013 00:00,"193.22.95.17","193.22.95.0","RO","ro",23,19,3,06/12/2011 00:00,06/12/2011 00:00
451,"ebuyer.biz",41,-1,1,3,9324,493409,493409,04/03/2010 00:00,03/07/2013 00:00,"69.43.161.154","69.43.161.0","US","biz",0,0,3,12/10/2011 00:00,12/10/2011 00:00
452,"thegeekparade.com",43,-1,1,3,67,1038,576,23/11/2011 00:00,29/06/2013 00:00,"173.201.216.6","173.201.216.0","US","com",7,0,3,18/11/2011 00:00,18/11/2011 00:00
453,"azurlingua-french-school.co.uk",100,-1,1,3,5978,2826,343,28/04/2011 00:00,10/08/2013 00:00,"95.143.72.9","95.143.72.0","UK","uk",18,16,3,24/11/2011 00:00,24/11/2011 00:00
454,"othercenter.pl",1782,-1,1,3,240214,188714,82257,17/07/2010 00:00,10/08/2013 00:00,"213.239.198.234","213.239.198.0","DE","pl",33,17,3,04/03/2013 00:00,04/03/2013 00:00
455,"lookallweb.com",750,-1,1,3,36560,444390,325901,07/10/2008 00:00,10/08/2013 00:00,"74.220.199.8","74.220.199.0","US","com",10,6,3,08/11/2011 00:00,01/12/2011 00:00
456,"imagine-lasvegas.com",8,-1,1,3,44,2785,2361,16/01/2013 00:00,09/08/2013 00:00,"72.54.187.252","72.54.187.0","US","com",8,4,3,18/03/2013 00:00,18/03/2013 00:00
457,"queensisland.com",19,-1,1,3,5902,1226487,1226487,15/07/2009 00:00,12/01/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",0,0,3,26/10/2011 00:00,18/11/2011 00:00
458,"lovelyfreestuff.com",3207,-1,1,3,71132,18641,7194,06/01/2011 00:00,22/12/2012 00:00,"205.204.66.228","205.204.66.0","CA","com",11,3,3,27/11/2011 00:00,27/11/2011 00:00
459,"traazi.com",763,-1,1,3,30940,3338484,241789,20/01/2008 00:00,17/02/2013 00:00,"184.168.221.95","184.168.221.0","US","com",7,1,3,22/08/2008 00:00,13/11/2008 00:00
460,"trainingforthetriathlon.com",21,-1,1,3,104,419,194,19/06/2012 00:00,18/07/2013 00:00,"174.132.77.35","174.132.77.0","US","com",8,0,3,22/12/2011 00:00,20/06/2012 00:00
461,"triathlongearshop.com",6,-1,1,3,80,3893,672,14/06/2012 00:00,28/07/2013 00:00,"66.147.242.186","66.147.242.0","US","com",5,0,3,20/06/2012 00:00,20/06/2012 00:00
462,"tuffnuff.com",489,-1,1,3,74757,11050,5377,06/02/2008 00:00,30/07/2013 00:00,"184.172.182.193","184.172.182.0","US","com",35,20,3,01/07/2012 00:00,22/12/2012 00:00
463,"propertyknightsbridge.com",47,-1,1,3,7480,678138,678137,14/10/2008 00:00,28/06/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,3,13/05/2010 00:00,27/05/2010 00:00
464,"lvyellowpage.com",59,-1,1,3,789,10312,7618,17/12/2008 00:00,10/08/2013 00:00,"74.220.220.45","74.220.220.0","US","com",12,0,3,14/05/2009 00:00,22/01/2013 00:00
465,"tuffnufftv.com",55,-1,1,3,26330,8199,1834,18/07/2012 00:00,27/07/2013 00:00,"184.172.182.193","184.172.182.0","US","com",17,7,3,18/07/2012 00:00,18/07/2012 00:00
466,"vegasautodealers.com",32,-1,1,3,219,63183,50019,10/11/2008 00:00,27/01/2013 00:00,"91.121.81.175","91.121.81.0","FR","com",0,0,3,09/10/2009 00:00,18/12/2009 00:00
467,"regionalkeywords.net",5,-1,1,3,28,1450902,1450902,28/01/2008 00:00,01/12/2010 00:00,"72.172.91.230","72.172.91.0","US","net",0,0,3,13/10/2009 00:00,28/05/2010 00:00
468,"medicalmarijuanatexas.org",119,-1,1,3,759,5313,4185,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",21,2,3,12/07/2013 00:00,03/08/2013 00:00
469,"alarabia-traveltours.com",752,-1,1,3,10577,273961,79865,17/09/2010 00:00,10/08/2013 00:00,"210.5.47.102","210.5.47.0","MY","com",18,2,3,24/05/2012 00:00,24/05/2012 00:00
470,"csdir.org",3707,-1,1,3,27795,208653,96235,28/01/2008 00:00,16/12/2009 00:00,"69.163.249.126","69.163.249.0","US","org",11,11,3,03/12/2008 00:00,03/12/2008 00:00
471,"linkek.in",2569,-1,1,3,387726,767764,231629,12/08/2009 00:00,23/06/2013 00:00,"62.116.181.25","62.116.181.0","DE","in",13,10,3,22/11/2011 00:00,22/11/2011 00:00
472,"ror.co.il",1448,-1,1,3,182668,217966,67099,26/02/2008 00:00,13/04/2012 00:00,"69.175.88.26","69.175.88.0","US","il",11,11,3,22/11/2011 00:00,22/11/2011 00:00
473,"earlybreastdetection.com",231,-1,1,3,1174,137,113,02/11/2011 00:00,28/07/2013 00:00,"74.54.176.18","74.54.176.0","US","com",13,0,3,22/11/2011 00:00,22/11/2011 00:00
474,"startlap.hu",15271,-1,1,3,46222389,17216483,1269244,26/01/2008 00:00,10/08/2013 00:00,"77.111.91.52","77.111.91.0","HU","hu",57,45,3,22/11/2009 00:00,22/11/2009 00:00
475,"majre.hu",261,-1,1,3,846,7426,4193,27/01/2008 00:00,08/08/2013 00:00,"62.112.194.195","62.112.194.0","HU","hu",16,10,3,21/11/2011 00:00,21/11/2011 00:00
476,"702concierge.com",9,-1,1,3,30,1688,1479,06/07/2013 00:00,30/07/2013 00:00,"174.120.116.222","174.120.116.0","US","com",10,0,3,28/02/2013 00:00,07/07/2013 00:00
477,"gamemaking.info",139,-1,1,3,10659,12190,5505,11/10/2011 00:00,29/01/2013 00:00,"69.43.161.151","69.43.161.0","US","info",15,0,3,19/11/2011 00:00,19/11/2011 00:00
478,"oz-design.es",2728,-1,1,3,198695,1721,1267,10/10/2008 00:00,10/08/2013 00:00,"184.154.136.60","184.154.136.0","US","es",31,13,3,24/11/2011 00:00,24/11/2011 00:00
479,"terminalost.dk",695,-1,1,3,66945,49908,9551,14/06/2010 00:00,22/01/2013 00:00,"212.97.132.155","212.97.132.0","DK","dk",7,0,3,16/12/2011 00:00,16/12/2011 00:00
480,"4mk.com",2,-1,1,3,2,671001,671001,11/01/2008 00:00,07/02/2013 00:00,"207.189.109.125","207.189.109.0","US","com",0,0,3,27/09/2009 00:00,19/01/2010 00:00
481,"fashionistamileurista.com",29,-1,1,3,1065,301,254,19/09/2010 00:00,20/11/2011 00:00,"80.156.86.78","80.156.86.0","DE","com",7,0,3,21/11/2011 00:00,28/11/2011 00:00
482,"420forall.com",1945,-1,1,3,59910,83633,67153,10/07/2010 00:00,21/05/2013 00:00,"174.120.116.253","174.120.116.0","US","com",15,2,3,16/03/2013 00:00,16/03/2013 00:00
483,"ii88.de",2570,-1,1,3,1004903,624316,268079,27/09/2010 00:00,10/08/2013 00:00,"66.160.134.69","66.160.134.0","US","de",22,1,3,19/10/2010 00:00,23/10/2010 00:00
484,"frauen-ebooks.de",93,-1,1,3,442,2717,1234,29/04/2010 00:00,13/04/2012 00:00,"195.143.188.164","195.143.188.0","UK","de",8,0,3,03/12/2011 00:00,03/12/2011 00:00
485,"ffxiv-fix.com",485,-1,1,3,2166,194,123,05/01/2011 00:00,07/08/2012 00:00,"213.163.82.28","213.163.82.0","NL","com",8,3,3,13/12/2011 00:00,15/06/2012 00:00
486,"egitmagazine.com",259,-1,1,3,1136,1747,1175,04/10/2010 00:00,05/06/2013 00:00,"74.220.199.6","74.220.199.0","US","com",12,1,3,17/11/2011 00:00,17/11/2011 00:00
487,"bunkbedfurniture.org",104,-1,1,3,543,2629,594,19/10/2010 00:00,20/10/2011 00:00,"70.86.12.226","70.86.12.0","US","org",7,0,3,24/11/2011 00:00,15/12/2011 00:00
488,"web3.nl",6313,-1,1,3,406926,340796,118007,14/01/2008 00:00,10/08/2013 00:00,"46.51.195.120","46.51.195.0","IE","nl",38,18,3,24/05/2012 00:00,17/07/2013 00:00
489,"cougarenvy.com",860,-1,1,3,84045,3977,3766,17/11/2010 00:00,10/08/2013 00:00,"66.172.58.50","66.172.58.0","US","com",19,4,3,22/11/2011 00:00,22/11/2011 00:00
490,"show24.net",956,-1,1,3,54599,3426650,161414,07/11/2008 00:00,30/01/2013 00:00,"198.1.106.251","198.1.106.0","US","net",7,5,3,22/02/2011 00:00,22/02/2011 00:00
491,"newjerseyhomeinspections.net",428,-1,1,3,3324,3121,1370,28/07/2011 00:00,02/01/2012 00:00,"64.202.189.170","64.202.189.0","US","net",9,1,3,11/11/2011 00:00,11/11/2011 00:00
492,"mycar.net",3951,-1,1,3,122200,242490,108834,24/01/2008 00:00,10/08/2013 00:00,"80.67.28.91","80.67.28.0","DE","net",50,17,3,12/09/2008 00:00,18/01/2013 00:00
