"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_bnilasvegas.com","FirstLinkDate_bnilasvegas.com","LastLinkDate_bnilasvegas.com"
135,"donaghmede.com",10,-1,1,1,13,751319,751319,08/10/2009 00:00,12/02/2013 00:00,"82.98.86.163","82.98.86.0","DE","com",0,0,1,13/08/2010 00:00,13/08/2010 00:00
136,"doc-cafes.com",82,-1,1,1,911,907384,907383,08/05/2009 00:00,07/08/2013 00:00,"70.40.195.235","70.40.195.0","US","com",5,0,1,12/06/2011 00:00,03/07/2011 00:00
137,"cartalkworld.com",5,-1,1,1,7,1356369,1356368,09/02/2008 00:00,17/07/2013 00:00,"208.73.210.29","208.73.210.0","US","com",0,0,1,21/06/2010 00:00,21/06/2010 00:00
138,"bossrocket.com",86,-1,1,1,669,380,350,24/12/2012 00:00,09/08/2013 00:00,"76.12.160.237","76.12.160.0","US","com",12,8,1,18/02/2013 00:00,03/07/2013 00:00
139,"bloggingslave.com",589,-1,1,1,4057,35396,18866,13/12/2008 00:00,09/10/2012 00:00,"67.215.66.132","67.215.66.0","US","com",8,4,1,14/07/2010 00:00,07/08/2010 00:00
140,"bestclean-llc.com",12,-1,1,1,7085,111,108,23/10/2009 00:00,07/08/2013 00:00,"69.167.137.15","69.167.137.0","US","com",8,6,1,17/03/2011 00:00,03/07/2013 00:00
141,"any-documents.com",29,-1,1,1,435,896466,896466,16/01/2010 00:00,12/02/2013 00:00,"199.59.243.109","199.59.243.0","US","com",0,0,1,21/05/2011 00:00,21/05/2011 00:00
142,"addedspeed.com",1207,-1,1,1,417841,6044,2624,14/11/2008 00:00,17/06/2010 00:00,"202.172.26.32","202.172.26.0","JP","com",0,0,1,17/07/2009 00:00,17/07/2009 00:00
143,"aboutnetworkmonitoring.com",8,-1,1,1,76,634,603,28/02/2008 00:00,28/02/2008 00:00,"63.251.179.13","63.251.179.0","US","com",5,0,1,28/02/2008 00:00,28/02/2008 00:00
144,"aboutlifespurpose.com",1430,-1,1,1,26188,18718,10086,06/12/2008 00:00,16/12/2012 00:00,"208.73.211.152","208.73.211.0","US","com",12,4,1,05/03/2011 00:00,05/06/2011 00:00
145,"health-mores.com",18,-1,1,1,81,398565,398564,29/07/2010 00:00,30/07/2013 00:00,"96.44.160.77","96.44.160.0","US","com",0,0,1,16/04/2011 00:00,16/04/2011 00:00
146,"horizonwebmarketing.com",99,-1,1,1,783,271,226,19/02/2013 00:00,31/07/2013 00:00,"174.122.114.254","174.122.114.0","US","com",19,9,1,06/04/2013 00:00,16/04/2013 00:00
147,"inchicore.com",22,-1,1,1,30,397023,397022,19/06/2009 00:00,25/05/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,1,27/11/2010 00:00,27/11/2010 00:00
148,"istanaartis.com",2067,-1,1,1,652720,8676144,752904,30/07/2009 00:00,24/07/2013 00:00,"8.5.1.51","8.5.1.0","US","com",20,18,1,30/04/2010 00:00,30/04/2010 00:00
149,"yewuee.com",22,-1,1,1,121,250696,45527,25/09/2008 00:00,18/06/2011 00:00,"208.73.210.29","208.73.210.0","US","com",5,0,1,23/02/2009 00:00,23/02/2009 00:00
150,"westbelfast.com",25,-1,1,1,6294,1182201,1182201,13/06/2009 00:00,26/07/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",0,0,1,17/03/2012 00:00,17/03/2012 00:00
151,"websitesinvegas.com",4,-1,1,1,9,14,10,19/12/2012 00:00,19/12/2012 00:00,"204.92.106.10","204.92.106.0","US","com",0,0,1,16/03/2011 00:00,03/01/2013 00:00
152,"ussitemap.com",0,-1,1,1,0,333840,333840,26/06/2009 00:00,19/06/2013 00:00,"174.137.132.36","174.137.132.0","US","com",0,0,1,08/08/2009 00:00,08/08/2009 00:00
153,"usaround.com",462,-1,1,1,4548,77576,36342,03/09/2008 00:00,28/02/2009 00:00,"68.180.151.76","68.180.151.0","US","com",9,7,1,18/10/2008 00:00,18/10/2008 00:00
154,"usaontheweb.com",64,-1,1,1,2496,932607,86945,10/01/2008 00:00,10/01/2013 00:00,"205.178.189.129","205.178.189.0","US","com",0,0,1,04/07/2008 00:00,04/07/2008 00:00
155,"steveoautomotive.com",345,-1,1,1,2843,137,106,16/06/2012 00:00,30/07/2013 00:00,"174.122.114.254","174.122.114.0","US","com",21,9,1,06/07/2012 00:00,30/06/2013 00:00
156,"yootsa.com",1382,-1,1,1,230007,934954,252648,13/01/2008 00:00,10/08/2013 00:00,"69.162.182.28","69.162.182.0","US","com",17,7,1,19/12/2008 00:00,19/12/2008 00:00
157,"statsdaemon.com",6628,-1,1,1,326997,3672378,762193,19/06/2009 00:00,23/07/2013 00:00,"188.92.75.58","188.92.75.0","LV","com",18,5,1,19/06/2010 00:00,19/06/2010 00:00
158,"seeeach.com",84,-1,1,1,725,1369021,1369021,15/10/2008 00:00,27/07/2012 00:00,"96.44.170.126","96.44.170.0","US","com",0,0,1,29/11/2010 00:00,29/11/2010 00:00
159,"resourcemecca.com",3564,-1,1,1,9836284,20999331,1040619,09/01/2008 00:00,10/08/2013 00:00,"184.168.221.96","184.168.221.0","US","com",16,22,1,02/09/2009 00:00,02/09/2009 00:00
160,"realestateandland.com",151,-1,1,1,346736,781523,233150,01/02/2008 00:00,10/08/2013 00:00,"50.63.202.37","50.63.202.0","US","com",5,0,1,12/05/2010 00:00,12/05/2010 00:00
161,"pdf-more.com",8,-1,1,1,16,126783,126782,23/01/2011 00:00,10/08/2013 00:00,"96.44.160.78","96.44.160.0","US","com",0,0,1,06/07/2011 00:00,23/07/2011 00:00
162,"morebusinesslv.com",4,-1,1,1,5,12,11,04/06/2013 00:00,,"80.156.86.78","80.156.86.0","DE","com",0,0,1,23/03/2010 00:00,16/04/2011 00:00
163,"live-in-las-vegas-nv.com",225,-1,1,1,802,410,323,02/10/2010 00:00,10/08/2013 00:00,"66.43.50.63","66.43.50.0","CA","com",17,9,1,13/05/2011 00:00,30/06/2013 00:00
164,"lasvegas-cityhall.com",73,-1,1,1,168,8878,3380,11/01/2008 00:00,15/12/2012 00:00,"208.91.197.54","208.91.197.0","UK","com",6,4,1,06/11/2008 00:00,14/11/2012 00:00
165,"southarmagh.com",10,-1,1,1,19,637813,637812,11/01/2008 00:00,12/02/2013 00:00,"82.98.86.175","82.98.86.0","DE","com",0,0,1,15/05/2010 00:00,15/05/2010 00:00
166,"mysearch.com.au",1801,-1,1,1,20528,2003253,507905,28/01/2008 00:00,23/05/2011 00:00,"208.43.135.30","208.43.135.0","US","au",11,13,1,28/04/2011 00:00,28/04/2011 00:00
