"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_lorifeldmanattorney.com","FirstLinkDate_lorifeldmanattorney.com","LastLinkDate_lorifeldmanattorney.com"
135,"tech4on.com",7106,18269,1,7,280249,398817,206724,14/01/2009 00:00,10/08/2013 00:00,"81.169.145.156","81.169.145.0","DE","com",34,19,7,06/12/2011 00:00,06/12/2011 00:00
136,"uns.ac.id",85529,36435,1,7,8878687,1625479,731784,24/01/2008 00:00,10/08/2013 00:00,"203.6.148.11","203.6.148.0","ID","id",45,32,7,21/11/2011 00:00,21/11/2011 00:00
137,"arps.org",3710,487646,1,7,348129,74074,45648,21/01/2008 00:00,10/08/2013 00:00,"159.250.23.4","159.250.23.0","US","org",35,23,7,23/11/2011 00:00,09/01/2012 00:00
138,"karkaworld.com",57,-1,1,7,347,285,246,09/11/2010 00:00,10/08/2013 00:00,"74.220.215.217","74.220.215.0","US","com",9,0,7,06/12/2011 00:00,19/01/2013 00:00
139,"ricardokakaonline.com",6463,-1,1,7,84941,333906,191606,15/08/2010 00:00,10/08/2013 00:00,"188.165.192.70","188.165.192.0","FR","com",28,21,7,28/11/2011 00:00,09/12/2011 00:00
140,"yeugame.net",168,-1,1,7,114452,8443,3791,14/10/2011 00:00,10/08/2013 00:00,"222.255.28.11","222.255.28.0","VN","net",12,2,7,23/11/2011 00:00,23/11/2011 00:00
141,"localcontractorsservice.com",971,-1,1,7,10033,51553,36174,11/01/2009 00:00,09/08/2013 00:00,"69.89.31.136","69.89.31.0","US","com",14,25,7,26/11/2011 00:00,26/11/2011 00:00
142,"uuaide.com",426,-1,1,7,10518,95586,46435,06/09/2010 00:00,31/07/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",12,0,7,10/01/2012 00:00,13/01/2012 00:00
143,"infomoto3.com",619,-1,1,7,22199,2273,663,27/05/2011 00:00,15/07/2013 00:00,"184.107.63.247","184.107.63.0","CA","com",14,4,7,23/12/2011 00:00,14/06/2012 00:00
144,"zerosheep.com",336,-1,1,7,3821,3479,1896,23/02/2009 00:00,01/07/2013 00:00,"174.120.233.250","174.120.233.0","US","com",10,7,7,02/12/2011 00:00,02/12/2011 00:00
145,"braunglasmafia.de",101,-1,1,7,7593,3930,2065,04/02/2008 00:00,10/08/2013 00:00,"212.90.148.100","212.90.148.0","DE","de",16,1,7,22/11/2011 00:00,22/11/2011 00:00
146,"klausschieferdecker.de",95,-1,1,7,1572,227,115,19/10/2008 00:00,10/08/2013 00:00,"88.198.3.226","88.198.3.0","DE","de",15,5,7,04/12/2011 00:00,23/01/2012 00:00
147,"manurodriguez.com",187,-1,1,7,2834,3553,2083,07/12/2010 00:00,01/08/2013 00:00,"134.0.11.57","134.0.11.0","ES","com",10,1,7,05/12/2011 00:00,05/12/2011 00:00
148,"comenius-exchange.eu",54,-1,1,7,320,1011,732,25/11/2011 00:00,10/08/2013 00:00,"37.230.96.166","37.230.96.0","NL","eu",18,3,7,21/11/2011 00:00,24/12/2011 00:00
149,"milkdaddy.com",154,-1,1,7,623,169,60,23/12/2012 00:00,,"50.22.80.189","50.22.80.0","US","com",7,0,7,26/06/2012 00:00,22/12/2012 00:00
150,"diesel2veggie.com",176,-1,1,7,1197,12744,6677,12/06/2009 00:00,30/06/2013 00:00,"72.167.232.45","72.167.232.0","US","com",9,1,7,06/12/2011 00:00,06/12/2011 00:00
151,"containergardening.us",90,-1,1,7,6525,6420,5667,27/12/2008 00:00,10/08/2013 00:00,"173.231.48.132","173.231.48.0","US","us",9,4,7,29/12/2011 00:00,27/02/2013 00:00
152,"diggtory.com",2383,-1,1,7,88321,288744,52853,13/10/2010 00:00,20/01/2013 00:00,"216.8.179.25","216.8.179.0","CA","com",11,3,7,29/11/2011 00:00,29/11/2011 00:00
153,"daveychu.com",35,-1,1,7,196,326,285,20/06/2009 00:00,23/07/2013 00:00,"46.30.211.56","46.30.211.0","DK","com",10,2,7,04/12/2011 00:00,07/12/2011 00:00
154,"alpvideo.ru",322,-1,1,7,8816,46144,33601,13/02/2009 00:00,10/08/2013 00:00,"188.128.85.11","188.128.85.0","RU","ru",13,13,7,20/04/2012 00:00,20/04/2012 00:00
155,"ksu.edu.sa",55840,7309,1,6,24621595,8696623,1367922,23/01/2008 00:00,10/08/2013 00:00,"212.57.194.200","212.57.194.0","SA","sa",56,59,6,26/11/2011 00:00,12/01/2012 00:00
156,"brownbook.net",47539,12846,1,6,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,6,19/11/2011 00:00,22/09/2012 00:00
157,"linkspurt.com",2787,21876,1,6,28036,89696,70489,10/04/2010 00:00,10/08/2013 00:00,"174.121.1.58","174.121.1.0","US","com",37,25,6,25/10/2012 00:00,25/10/2012 00:00
158,"ballarat.edu.au",31984,141446,1,6,626999,6827231,1165537,09/01/2008 00:00,10/08/2013 00:00,"141.132.88.207","141.132.88.0","AU","au",47,62,6,20/12/2011 00:00,28/01/2012 00:00
159,"want2blog.net",5195,434269,1,6,167541,122036,77172,13/09/2010 00:00,10/08/2013 00:00,"85.214.225.100","85.214.225.0","DE","net",36,16,6,03/12/2011 00:00,03/12/2011 00:00
160,"boombotix.com",1735,705733,1,6,53768,50184,39992,15/04/2011 00:00,10/08/2013 00:00,"54.243.92.108","54.243.92.0","US","com",37,28,6,27/11/2011 00:00,01/01/2012 00:00
161,"medicalmarijuanalouisiana.net",46,-1,1,6,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,6,23/02/2013 00:00,08/08/2013 00:00
162,"globalbusinessmarketing.com",17,-1,1,6,116,740,601,18/12/2011 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,6,25/11/2011 00:00,12/12/2011 00:00
163,"haperlot.com",90,-1,1,6,265,204,194,26/06/2012 00:00,10/08/2013 00:00,"69.89.31.76","69.89.31.0","US","com",12,1,6,13/07/2012 00:00,09/07/2013 00:00
164,"nstoyanov.com",6439,-1,1,6,125358,39096,14635,19/09/2009 00:00,01/08/2013 00:00,"193.107.36.200","193.107.36.0","BG","com",31,21,6,04/05/2012 00:00,11/08/2012 00:00
165,"nerdstickers.net",1123,-1,1,6,38429,66343,19515,30/09/2010 00:00,11/02/2013 00:00,"208.87.34.15","208.87.34.0","BS","net",10,9,6,17/11/2011 00:00,17/11/2011 00:00
166,"mygreatclock.com",107,-1,1,6,964,4778,1695,21/06/2012 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",16,0,6,21/06/2012 00:00,21/06/2012 00:00
167,"topleya.co.uk",1743,-1,1,6,7797,10383,7583,10/11/2011 00:00,08/08/2013 00:00,"79.170.44.120","79.170.44.0","UK","uk",24,6,6,27/11/2011 00:00,07/12/2011 00:00
168,"tarif-infos.com",144,-1,1,6,2276,882,720,22/09/2008 00:00,26/02/2013 00:00,"208.73.210.155","208.73.210.0","US","com",10,5,6,26/11/2011 00:00,17/12/2011 00:00
169,"borealterrainpark.com",729,-1,1,6,5551,8041,4062,14/11/2008 00:00,10/08/2013 00:00,"208.113.224.112","208.113.224.0","US","com",12,20,6,30/11/2011 00:00,30/11/2011 00:00
170,"tudienykhoa.net",270,-1,1,6,11086,12604,8928,25/09/2009 00:00,10/08/2013 00:00,"173.236.158.229","173.236.158.0","US","net",33,3,6,19/12/2011 00:00,17/07/2013 00:00
171,"saronde.org",90,-1,1,6,35328,5736,1925,10/07/2012 00:00,24/05/2013 00:00,"184.173.233.155","184.173.233.0","US","org",11,7,6,06/01/2012 00:00,19/06/2012 00:00
172,"epilaredefinitiva.com.ro",185,-1,1,6,5651,2941,2766,22/06/2009 00:00,30/05/2013 00:00,"85.9.53.120","85.9.53.0","RO","ro",9,9,6,21/11/2011 00:00,23/11/2011 00:00
173,"reelcomix.com",8320,-1,1,6,142712,161063,56499,07/06/2008 00:00,10/08/2013 00:00,"207.32.176.72","207.32.176.0","US","com",19,12,6,26/06/2012 00:00,17/08/2012 00:00
174,"artharrest.com",1255,-1,1,6,68091,22959,15149,02/08/2010 00:00,10/08/2013 00:00,"74.208.39.141","74.208.39.0","US","com",26,3,6,10/12/2011 00:00,20/10/2012 00:00
175,"webnetclick.com",4724,42775,1,5,798241,320826,107504,09/05/2008 00:00,31/07/2013 00:00,"108.167.174.62","108.167.174.0","US","com",22,16,5,24/03/2012 00:00,24/03/2012 00:00
176,"byethost18.com",122329,231173,1,5,5580718,2289697,1037310,13/01/2008 00:00,10/08/2013 00:00,"209.190.85.126","209.190.85.0","US","com",51,32,5,28/11/2011 00:00,09/01/2012 00:00
177,"yourwebsiteurl.com",983,913127,1,5,126973,55231,30411,14/10/2011 00:00,10/08/2013 00:00,"174.120.150.35","174.120.150.0","US","com",23,9,5,06/12/2011 00:00,14/12/2011 00:00
178,"bradyleepolygraph.com",413,-1,1,5,30502,49880,9056,06/01/2011 00:00,26/05/2013 00:00,"74.54.144.99","74.54.144.0","US","com",6,0,5,07/12/2011 00:00,07/12/2011 00:00
179,"focustkd.com",184,-1,1,5,623,882,720,25/06/2008 00:00,06/08/2013 00:00,"50.6.156.9","50.6.156.0","US","com",16,11,5,04/12/2011 00:00,16/12/2011 00:00
180,"uceas.org",55,-1,1,5,6028,35194,22153,29/06/2008 00:00,12/05/2013 00:00,"72.52.141.102","72.52.141.0","US","org",5,5,5,25/02/2013 00:00,25/02/2013 00:00
181,"digipai.com",51,-1,1,5,983,1139,663,31/03/2011 00:00,10/08/2013 00:00,"64.111.127.251","64.111.127.0","US","com",11,7,5,29/11/2011 00:00,08/12/2011 00:00
182,"ipllaserhairremoval.com.au",159,-1,1,5,1838,634,370,23/01/2012 00:00,27/07/2013 00:00,"174.122.3.67","174.122.3.0","US","au",8,3,5,14/02/2012 00:00,14/02/2012 00:00
183,"sirmy.net",262,-1,1,5,4655,3371,2140,30/09/2008 00:00,01/08/2013 00:00,"85.25.77.86","85.25.77.0","DE","net",11,3,5,29/11/2011 00:00,04/12/2011 00:00
184,"thingstodohigh.com",49,-1,1,5,76,2149,1621,23/12/2009 00:00,01/02/2012 00:00,"199.101.28.20","199.101.28.0","US","com",0,0,5,05/12/2011 00:00,05/12/2011 00:00
185,"fastlittlearticle.com",47,-1,1,5,498,143,118,24/06/2008 00:00,08/08/2013 00:00,"96.127.180.194","96.127.180.0","US","com",9,0,5,12/12/2011 00:00,31/07/2013 00:00
186,"sonialopes.com.br",1804,-1,1,5,15030,16684,6557,28/01/2008 00:00,08/08/2013 00:00,"80.156.86.78","80.156.86.0","DE","br",14,3,5,25/11/2011 00:00,25/11/2011 00:00
187,"rkvb.nl",249,-1,1,5,979,9963,3395,16/03/2008 00:00,10/08/2013 00:00,"93.157.136.196","93.157.136.0","NL","nl",15,10,5,24/11/2011 00:00,25/11/2011 00:00
188,"host1host.com",1118,-1,1,5,245473,4956,4323,24/05/2010 00:00,10/08/2013 00:00,"173.254.28.143","173.254.28.0","US","com",25,6,5,05/12/2011 00:00,02/05/2012 00:00
189,"robertstermscheg.com",67,-1,1,5,191,219,195,14/04/2012 00:00,10/08/2013 00:00,"66.147.242.190","66.147.242.0","US","com",17,9,5,22/11/2011 00:00,19/02/2012 00:00
190,"socialbrettwork.com",161,-1,1,5,2295,826,217,01/08/2012 00:00,10/08/2013 00:00,"85.13.139.59","85.13.139.0","DE","com",21,2,5,19/06/2012 00:00,21/10/2012 00:00
191,"fooddiets.org",1161,-1,1,5,27506,17679,12560,29/07/2010 00:00,10/08/2013 00:00,"67.20.85.84","67.20.85.0","US","org",19,4,5,21/11/2011 00:00,01/12/2011 00:00
192,"chihuahuazone.com",120,-1,1,5,1294,14060,9285,28/10/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",24,0,5,20/06/2012 00:00,20/06/2012 00:00
193,"egitmagazine.com",259,-1,1,5,1136,1747,1175,04/10/2010 00:00,05/06/2013 00:00,"74.220.199.6","74.220.199.0","US","com",12,1,5,17/11/2011 00:00,17/11/2011 00:00
194,"piekna-miejscowka.pl",2466,-1,1,5,236423,238122,78034,02/01/2011 00:00,10/08/2013 00:00,"185.5.98.111","185.5.98.0","PL","pl",30,2,5,27/11/2011 00:00,04/12/2011 00:00
195,"marenguse.com",190,-1,1,5,1334,5350,2758,18/06/2009 00:00,10/08/2013 00:00,"72.167.232.83","72.167.232.0","US","com",14,9,5,22/11/2011 00:00,22/11/2011 00:00
196,"hamala.org",104,-1,1,5,3624,201,152,11/10/2010 00:00,10/08/2013 00:00,"93.185.104.27","93.185.104.0","CZ","org",13,8,5,28/11/2011 00:00,24/07/2012 00:00
197,"divinesueshinehealthandfitness.com",55,-1,1,5,952,551,476,23/10/2010 00:00,10/08/2013 00:00,"184.172.52.234","184.172.52.0","US","com",10,0,5,13/07/2012 00:00,27/07/2012 00:00
198,"triathlongearshop.com",6,-1,1,5,80,3893,672,14/06/2012 00:00,28/07/2013 00:00,"66.147.242.186","66.147.242.0","US","com",5,0,5,20/06/2012 00:00,20/06/2012 00:00
199,"originalmagazineads.com",3148,-1,1,5,59441,35204,20631,27/09/2008 00:00,22/01/2013 00:00,"192.31.186.145","192.31.186.0","US","com",16,6,5,21/11/2011 00:00,31/01/2012 00:00
200,"bhaktapurcity.com",22,-1,1,5,67,489,347,05/11/2011 00:00,29/07/2013 00:00,"208.91.197.101","208.91.197.0","UK","com",7,3,5,10/12/2011 00:00,19/04/2012 00:00
201,"framebay.com",441,-1,1,5,6515,226746,34878,24/05/2011 00:00,10/08/2013 00:00,"213.186.33.3","213.186.33.0","FR","com",14,2,5,08/06/2012 00:00,08/06/2012 00:00
202,"health-insurance-companies-guide.com",25,-1,1,5,59,220,133,16/09/2009 00:00,,"91.121.81.175","91.121.81.0","FR","com",5,1,5,08/12/2011 00:00,08/12/2011 00:00
203,"theseoking.com",11745,21702,1,4,460959,809529,355605,14/01/2008 00:00,10/08/2013 00:00,"67.222.1.26","67.222.1.0","US","com",40,29,4,14/06/2013 00:00,14/06/2013 00:00
204,"stedwards.edu",31456,97947,1,4,4187719,285166,159775,25/01/2008 00:00,10/08/2013 00:00,"50.56.124.87","50.56.124.0","US","edu",48,61,4,21/12/2011 00:00,09/02/2012 00:00
205,"oxenoxen.com",980,204536,1,4,86474,54339,33889,21/10/2011 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",21,14,4,12/04/2012 00:00,07/12/2012 00:00
206,"tablezine.com",1269,375668,1,4,12768,24892,21330,20/03/2008 00:00,10/08/2013 00:00,"37.43.10.122","37.43.10.0","RO","com",28,15,4,20/12/2011 00:00,20/01/2012 00:00
207,"iamsupergorge.com",2357,471930,1,4,50111,199115,88690,07/04/2011 00:00,10/08/2013 00:00,"72.167.1.1","72.167.1.0","US","com",38,11,4,23/11/2011 00:00,23/11/2011 00:00
208,"justkateplus8.com",1262,-1,1,4,35058,32727,28494,24/04/2010 00:00,02/08/2013 00:00,"97.74.144.192","97.74.144.0","US","com",24,3,4,19/11/2011 00:00,19/11/2011 00:00
209,"kino-blog.cc",182,-1,1,4,1687,4091,1586,07/01/2010 00:00,07/08/2013 00:00,"173.83.51.67","173.83.51.0","US","cc",13,9,4,23/11/2011 00:00,23/11/2011 00:00
210,"teatropilipinas.org",114,-1,1,4,8150,4376,1990,06/03/2009 00:00,09/08/2013 00:00,"208.113.163.73","208.113.163.0","US","org",14,2,4,04/12/2011 00:00,04/12/2011 00:00
211,"islamickorner.net",1669,-1,1,4,49730,567941,174159,01/06/2011 00:00,10/08/2013 00:00,"206.253.167.162","206.253.167.0","US","net",30,9,4,25/03/2012 00:00,15/06/2012 00:00
212,"fatdesigns.co.uk",40,-1,1,4,462,68,39,24/05/2013 00:00,10/08/2013 00:00,"129.121.186.212","129.121.186.0","US","uk",7,0,4,18/12/2011 00:00,16/07/2013 00:00
213,"newtab.org",114,-1,1,4,6163,804,523,12/10/2011 00:00,07/02/2013 00:00,"173.192.107.191","173.192.107.0","US","org",9,13,4,30/11/2011 00:00,07/01/2012 00:00
214,"day-blog.de",42,-1,1,4,37440,118,96,30/06/2013 00:00,10/08/2013 00:00,"195.225.105.124","195.225.105.0","DE","de",13,0,4,21/12/2011 00:00,27/02/2013 00:00
215,"itreviewer.ru",178,-1,1,4,5442,24240,22384,19/10/2010 00:00,10/08/2013 00:00,"92.53.113.61","92.53.113.0","RU","ru",21,0,4,01/07/2012 00:00,25/05/2013 00:00
216,"aboutchronicfatiguesyndrome.com",2,-1,1,4,3,50054,44089,31/03/2013 00:00,25/07/2013 00:00,"174.132.147.227","174.132.147.0","US","com",0,0,4,19/04/2013 00:00,06/05/2013 00:00
217,"digitalaccess.com.mx",3704,-1,1,4,235253,68634,27979,16/02/2008 00:00,10/08/2013 00:00,"50.22.75.102","50.22.75.0","US","mx",22,6,4,19/12/2011 00:00,19/12/2011 00:00
218,"southdakota.me",2291,-1,1,4,24920,215233,39419,05/11/2010 00:00,01/11/2012 00:00,"69.89.31.112","69.89.31.0","US","me",10,1,4,29/11/2011 00:00,29/11/2011 00:00
219,"ironman3.org",476,-1,1,4,5448,124896,72167,01/12/2010 00:00,21/01/2013 00:00,"50.22.11.10","50.22.11.0","US","org",9,1,4,16/12/2011 00:00,12/04/2012 00:00
220,"txmusictv.com",581,-1,1,4,13562,9103,6839,15/06/2010 00:00,29/07/2013 00:00,"174.122.150.34","174.122.150.0","US","com",23,15,4,17/11/2011 00:00,17/11/2011 00:00
221,"earlybreastdetection.com",231,-1,1,4,1174,137,113,02/11/2011 00:00,28/07/2013 00:00,"74.54.176.18","74.54.176.0","US","com",13,0,4,22/11/2011 00:00,22/11/2011 00:00
222,"mixxmark.com",862,-1,1,4,6118,113319,39921,07/07/2010 00:00,23/07/2013 00:00,"69.43.161.177","69.43.161.0","US","com",18,1,4,29/11/2011 00:00,29/11/2011 00:00
223,"quicm.net",3023,-1,1,4,19104,25059,20809,25/09/2009 00:00,10/08/2013 00:00,"69.163.146.90","69.163.146.0","US","net",29,8,4,23/12/2011 00:00,16/05/2012 00:00
224,"clipclip.org",28352,-1,1,4,7655307,7503696,1909430,21/01/2008 00:00,18/07/2013 00:00,"46.4.116.72","46.4.116.0","DE","org",36,21,4,12/11/2011 00:00,12/11/2011 00:00
225,"teregova.ro",125,-1,1,4,2237,69139,51530,28/09/2010 00:00,30/06/2013 00:00,"93.115.117.90","93.115.117.0","RO","ro",12,3,4,23/11/2011 00:00,23/11/2011 00:00
226,"hostmot.com",109,-1,1,4,1018,459,397,13/11/2008 00:00,31/07/2013 00:00,"174.122.149.62","174.122.149.0","US","com",16,3,4,14/12/2011 00:00,16/10/2012 00:00
227,"fokakmena.com",906,-1,1,4,126198,752772,140315,25/03/2008 00:00,10/08/2013 00:00,"5.39.50.144","5.39.50.0","FR","com",27,19,4,16/12/2011 00:00,09/11/2012 00:00
228,"aboutjiewu.com",46,-1,1,4,257,467,367,30/05/2012 00:00,08/08/2013 00:00,"97.74.47.1","97.74.47.0","US","com",12,20,4,01/12/2011 00:00,23/12/2011 00:00
229,"globalistgirl.net",613,-1,1,4,7138,43777,23726,17/04/2008 00:00,10/08/2013 00:00,"208.109.181.54","208.109.181.0","US","net",30,4,4,20/04/2013 00:00,20/04/2013 00:00
230,"icantstopeating.com",165,-1,1,4,846,892,770,08/12/2010 00:00,10/08/2013 00:00,"173.201.98.128","173.201.98.0","US","com",14,0,4,27/11/2011 00:00,03/01/2012 00:00
231,"trainingforthetriathlon.com",21,-1,1,4,104,419,194,19/06/2012 00:00,18/07/2013 00:00,"174.132.77.35","174.132.77.0","US","com",8,0,4,22/12/2011 00:00,20/06/2012 00:00
232,"weheartchristchurch.com",1668,-1,1,4,18363,833,501,27/07/2012 00:00,10/08/2013 00:00,"50.28.5.155","50.28.5.0","US","com",26,2,4,01/12/2011 00:00,22/12/2011 00:00
233,"poweredwordpress.com",208,-1,1,4,2229,7415,199,07/08/2012 00:00,16/03/2013 00:00,"198.187.29.44","198.187.29.0","US","com",9,0,4,21/06/2012 00:00,21/06/2012 00:00
234,"retirementcommunitiesaz.com",542,-1,1,4,3265,11280,1559,01/10/2010 00:00,09/08/2013 00:00,"173.225.25.42","173.225.25.0","US","com",24,3,4,09/12/2011 00:00,22/01/2012 00:00
235,"gamemaking.info",139,-1,1,4,10659,12190,5505,11/10/2011 00:00,29/01/2013 00:00,"69.43.161.151","69.43.161.0","US","info",15,0,4,19/11/2011 00:00,19/11/2011 00:00
236,"williamsburgwarriors.org",375,-1,1,4,45779,27892,10522,27/01/2008 00:00,05/06/2013 00:00,"23.23.210.22","23.23.210.0","US","org",19,13,4,17/12/2011 00:00,17/12/2011 00:00
237,"thecelebritynews.co.uk",386,-1,1,4,4533,193462,63179,09/09/2010 00:00,26/03/2013 00:00,"50.63.202.21","50.63.202.0","US","uk",9,9,4,18/11/2011 00:00,24/11/2011 00:00
238,"dede6.com",1669,-1,1,4,7361,17974,9151,13/01/2009 00:00,25/07/2013 00:00,"149.47.162.204","149.47.162.0","US","com",12,12,4,10/01/2012 00:00,16/01/2012 00:00
239,"rickmartins.com.br",55,-1,1,4,1116,7964,385,19/02/2011 00:00,26/12/2011 00:00,"","","","br",8,0,4,23/11/2011 00:00,25/01/2012 00:00
240,"omelhorblogdomundo.com",48,-1,1,4,5398,308,199,28/05/2010 00:00,20/08/2012 00:00,"189.38.80.52","189.38.80.0","BR","com",7,0,4,20/11/2011 00:00,20/11/2011 00:00
241,"mymoneyeveryday.org",1540,-1,1,4,4762,8900,2876,18/11/2010 00:00,04/02/2012 00:00,"91.121.81.175","91.121.81.0","FR","org",10,1,4,04/12/2011 00:00,04/12/2011 00:00
242,"cunttrumpet.com",118,-1,1,4,207,11535,2102,28/10/2011 00:00,25/04/2012 00:00,"69.43.161.174","69.43.161.0","US","com",0,0,4,21/11/2011 00:00,21/11/2011 00:00
243,"skywalkgroup.com",482,-1,1,4,3935,142830,28250,20/12/2008 00:00,10/08/2013 00:00,"97.64.150.65","97.64.150.0","US","com",24,12,4,27/11/2011 00:00,27/11/2011 00:00
244,"asu.edu",355312,6950,1,3,76048618,9696501,2393358,09/01/2008 00:00,10/08/2013 00:00,"129.219.10.58","129.219.10.0","US","edu",67,76,3,22/11/2011 00:00,22/11/2011 00:00
245,"arbecey.com",1400,42196,1,3,40720,343953,163458,31/10/2011 00:00,31/07/2013 00:00,"216.172.184.43","216.172.184.0","US","com",29,16,3,29/11/2011 00:00,09/12/2011 00:00
246,"ithacaforward.org",3310,157865,1,3,21349,152883,36730,30/01/2008 00:00,16/04/2013 00:00,"74.220.199.8","74.220.199.0","US","org",16,14,3,26/11/2011 00:00,26/11/2011 00:00
247,"gargalhando.com",2480,204794,1,3,1087653,37700,33756,08/11/2009 00:00,10/08/2013 00:00,"85.25.130.134","85.25.130.0","DE","com",39,17,3,23/11/2011 00:00,23/11/2011 00:00
248,"azfra.us",789,232679,1,3,93941,127850,32997,09/01/2008 00:00,09/08/2013 00:00,"50.63.202.56","50.63.202.0","US","us",23,10,3,29/12/2011 00:00,29/12/2011 00:00
249,"greatarticlesite.com",7799,334554,1,3,332265,922379,249268,07/08/2008 00:00,10/08/2013 00:00,"205.204.72.195","205.204.72.0","CA","com",39,9,3,24/06/2012 00:00,19/04/2013 00:00
250,"thestatedtruth.com",11307,837392,1,3,225358,75558,53300,02/01/2010 00:00,10/08/2013 00:00,"184.168.58.1","184.168.58.0","US","com",45,5,3,12/04/2012 00:00,14/04/2012 00:00
251,"thriller-ebooks.de",184,-1,1,3,1528,3734,1888,10/12/2009 00:00,18/01/2013 00:00,"195.143.188.164","195.143.188.0","UK","de",9,1,3,19/11/2011 00:00,19/11/2011 00:00
252,"dlpalace.org",79,-1,1,3,2131,900,840,05/07/2010 00:00,31/01/2012 00:00,"27.54.86.177","27.54.86.0","AU","org",5,0,3,24/11/2011 00:00,24/11/2011 00:00
253,"nice-plastic.com",10731,-1,1,3,97034,21794,19610,27/07/2012 00:00,10/08/2013 00:00,"64.120.157.183","64.120.157.0","US","com",42,12,3,27/05/2012 00:00,27/05/2012 00:00
254,"healthanarchy.com",19,-1,1,3,23,1045,477,29/10/2010 00:00,05/08/2013 00:00,"184.168.221.33","184.168.221.0","US","com",6,0,3,29/11/2011 00:00,29/11/2011 00:00
255,"visuatronic.com",158,-1,1,3,3585,2786,1400,07/11/2008 00:00,24/08/2012 00:00,"67.215.66.132","67.215.66.0","US","com",7,2,3,22/11/2011 00:00,22/11/2011 00:00
256,"haitipam.com",1887,-1,1,3,19277,101269,29353,03/08/2009 00:00,10/08/2013 00:00,"74.220.219.60","74.220.219.0","US","com",15,1,3,28/11/2011 00:00,28/11/2011 00:00
257,"hacktheearth.com",50,-1,1,3,468,439,36,21/06/2012 00:00,25/07/2012 00:00,"64.74.223.37","64.74.223.0","US","com",10,2,3,17/07/2012 00:00,17/07/2012 00:00
258,"almasri88.com",4140,-1,1,3,27398,475290,108622,15/10/2010 00:00,10/08/2013 00:00,"178.63.123.90","178.63.123.0","DE","com",29,6,3,09/03/2013 00:00,09/03/2013 00:00
259,"project365.it",36,-1,1,3,85,63,21,15/06/2012 00:00,03/07/2012 00:00,"46.252.157.14","46.252.157.0","IT","it",7,0,3,15/06/2012 00:00,15/06/2012 00:00
260,"getamajorcreditcard.com",529,-1,1,3,70923,2385,692,11/12/2011 00:00,13/09/2012 00:00,"67.215.66.132","67.215.66.0","US","com",10,5,3,14/06/2012 00:00,19/10/2012 00:00
261,"nacpsi2009.com",289,-1,1,3,9989,638,544,16/01/2010 00:00,14/04/2012 00:00,"199.101.28.20","199.101.28.0","US","com",7,3,3,30/11/2011 00:00,07/12/2011 00:00
262,"cheapbabywalkers.org",117,-1,1,3,445,943,388,17/12/2010 00:00,21/07/2013 00:00,"50.22.131.128","50.22.131.0","US","org",8,0,3,19/06/2012 00:00,19/06/2012 00:00
263,"ccocr2010.org",219,-1,1,3,871,3773,2410,09/12/2009 00:00,26/02/2013 00:00,"50.97.101.209","50.97.101.0","US","org",8,2,3,19/12/2011 00:00,16/05/2012 00:00
264,"tuninghell.com",5173,-1,1,3,47131,418394,100703,09/07/2010 00:00,10/08/2013 00:00,"176.9.23.121","176.9.23.0","DE","com",43,6,3,10/03/2013 00:00,15/05/2013 00:00
265,"travelandleisuretoday.com",371,-1,1,3,2119,47703,10641,04/10/2010 00:00,23/06/2013 00:00,"208.73.211.152","208.73.211.0","US","com",9,0,3,14/12/2011 00:00,14/12/2011 00:00
266,"politicalcontext.org",438,-1,1,3,17486,8088,6922,27/03/2011 00:00,31/07/2013 00:00,"50.116.99.36","50.116.99.0","US","org",26,18,3,01/12/2011 00:00,01/12/2011 00:00
267,"powinc.com",209,-1,1,3,942,714,339,16/01/2008 00:00,10/08/2013 00:00,"184.106.55.27","184.106.55.0","US","com",21,8,3,25/03/2012 00:00,25/03/2012 00:00
268,"discoverstlucia.net",126,-1,1,3,439,4115,3145,04/12/2010 00:00,09/08/2013 00:00,"94.229.167.70","94.229.167.0","UK","net",15,5,3,05/12/2011 00:00,05/12/2011 00:00
269,"ffxiv-fix.com",485,-1,1,3,2166,194,123,05/01/2011 00:00,07/08/2012 00:00,"213.163.82.28","213.163.82.0","NL","com",8,3,3,13/12/2011 00:00,15/06/2012 00:00
270,"fashionistamileurista.com",29,-1,1,3,1065,301,254,19/09/2010 00:00,20/11/2011 00:00,"80.156.86.78","80.156.86.0","DE","com",7,0,3,21/11/2011 00:00,28/11/2011 00:00
