"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_househuntinginlasvegas.com","FirstLinkDate_househuntinginlasvegas.com","LastLinkDate_househuntinginlasvegas.com"
135,"localcontractorsservice.com",971,-1,1,8,10033,51553,36174,11/01/2009 00:00,09/08/2013 00:00,"69.89.31.136","69.89.31.0","US","com",14,25,8,26/11/2011 00:00,26/11/2011 00:00
136,"dafr3ak.net",45,-1,1,8,543,7032,6162,22/08/2010 00:00,10/08/2013 00:00,"66.6.44.4","66.6.44.0","US","net",7,0,8,17/04/2012 00:00,17/04/2012 00:00
137,"braunglasmafia.de",101,-1,1,8,7593,3930,2065,04/02/2008 00:00,10/08/2013 00:00,"212.90.148.100","212.90.148.0","DE","de",16,1,8,22/11/2011 00:00,22/11/2011 00:00
138,"7mdigg.com",8748,-1,1,8,181704,640124,155193,13/12/2010 00:00,10/08/2013 00:00,"173.254.28.40","173.254.28.0","US","com",25,4,8,09/11/2011 00:00,09/11/2011 00:00
139,"wowgoldsafe.co.uk",2187,-1,1,8,195002,11274,9965,09/11/2011 00:00,10/08/2013 00:00,"46.252.204.19","46.252.204.0","NL","uk",42,11,8,27/11/2011 00:00,27/11/2011 00:00
140,"ksu.edu.sa",55840,7309,1,7,24621595,8696623,1367922,23/01/2008 00:00,10/08/2013 00:00,"212.57.194.200","212.57.194.0","SA","sa",56,59,7,21/12/2011 00:00,06/01/2012 00:00
141,"internationalarticle.com",2389,56636,1,7,869686,78775,47368,26/02/2010 00:00,31/07/2013 00:00,"174.132.114.6","174.132.114.0","US","com",19,16,7,06/11/2011 00:00,06/11/2011 00:00
142,"drctry.info",1174,326560,1,7,15468,246905,135409,20/11/2010 00:00,10/08/2013 00:00,"198.154.229.1","198.154.229.0","US","info",25,16,7,27/05/2013 00:00,30/05/2013 00:00
143,"socialbrettwork.com",161,-1,1,7,2295,826,217,01/08/2012 00:00,10/08/2013 00:00,"85.13.139.59","85.13.139.0","DE","com",21,2,7,20/06/2012 00:00,21/06/2012 00:00
144,"420forall.com",1945,-1,1,7,59910,83633,67153,10/07/2010 00:00,21/05/2013 00:00,"174.120.116.253","174.120.116.0","US","com",15,2,7,17/12/2011 00:00,17/12/2011 00:00
145,"milkdaddy.com",154,-1,1,7,623,169,60,23/12/2012 00:00,,"50.22.80.189","50.22.80.0","US","com",7,0,7,22/06/2012 00:00,22/06/2012 00:00
146,"mrcrow.com",1419,-1,1,7,7924,21123,13480,23/02/2010 00:00,28/07/2013 00:00,"174.132.24.141","174.132.24.0","US","com",18,8,7,26/11/2011 00:00,26/11/2011 00:00
147,"mygreatclock.com",107,-1,1,7,964,4778,1695,21/06/2012 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",16,0,7,21/06/2012 00:00,21/06/2012 00:00
148,"fooddiets.org",1161,-1,1,7,27506,17679,12560,29/07/2010 00:00,10/08/2013 00:00,"67.20.85.84","67.20.85.0","US","org",19,4,7,21/11/2011 00:00,26/11/2011 00:00
149,"ruralhobbyfarm.com",357,-1,1,7,1984,23077,8848,24/01/2011 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",20,6,7,27/11/2011 00:00,29/01/2012 00:00
150,"fastlittlearticle.com",47,-1,1,7,498,143,118,24/06/2008 00:00,08/08/2013 00:00,"96.127.180.194","96.127.180.0","US","com",9,0,7,12/12/2011 00:00,31/07/2013 00:00
151,"hotokyo.net",285,-1,1,7,3415,50437,13216,25/10/2010 00:00,10/08/2013 00:00,"180.153.108.105","180.153.108.0","CN","net",22,11,7,24/11/2011 00:00,25/11/2011 00:00
152,"projectscommunity.com",2357,-1,1,7,24105,546801,153988,14/06/2008 00:00,10/08/2013 00:00,"74.50.21.200","74.50.21.0","US","com",14,14,7,08/11/2011 00:00,08/11/2011 00:00
153,"nottenews.com",215,-1,1,7,1244,362,116,08/04/2012 00:00,10/08/2013 00:00,"204.45.55.44","204.45.55.0","US","com",10,1,7,24/04/2012 00:00,21/05/2012 00:00
154,"findyourlink.info",3310,31072,1,6,112711,775091,265644,16/05/2009 00:00,10/08/2013 00:00,"184.107.202.122","184.107.202.0","CA","info",31,18,6,05/06/2013 00:00,05/06/2013 00:00
155,"topleya.co.uk",1743,-1,1,6,7797,10383,7583,10/11/2011 00:00,08/08/2013 00:00,"79.170.44.120","79.170.44.0","UK","uk",24,6,6,27/11/2011 00:00,07/12/2011 00:00
156,"yeugame.net",168,-1,1,6,114452,8443,3791,14/10/2011 00:00,10/08/2013 00:00,"222.255.28.11","222.255.28.0","VN","net",12,2,6,23/11/2011 00:00,23/11/2011 00:00
157,"ipllaserhairremoval.com.au",159,-1,1,6,1838,634,370,23/01/2012 00:00,27/07/2013 00:00,"174.122.3.67","174.122.3.0","US","au",8,3,6,14/02/2012 00:00,14/02/2012 00:00
158,"beatshere.com",979,-1,1,6,8868,785,517,18/05/2012 00:00,20/01/2013 00:00,"184.154.190.170","184.154.190.0","US","com",11,0,6,02/12/2011 00:00,30/12/2011 00:00
159,"reelcomix.com",8320,-1,1,6,142712,161063,56499,07/06/2008 00:00,10/08/2013 00:00,"207.32.176.72","207.32.176.0","US","com",19,12,6,26/06/2012 00:00,17/08/2012 00:00
160,"theconservativejournalblog.com",2205,-1,1,6,146599,24757,6960,29/09/2011 00:00,31/07/2013 00:00,"184.172.137.3","184.172.137.0","US","com",28,18,6,07/12/2011 00:00,07/12/2011 00:00
161,"gettheproof.com",97,-1,1,6,506,14206,9256,20/03/2011 00:00,10/08/2013 00:00,"97.74.215.142","97.74.215.0","US","com",10,3,6,27/02/2013 00:00,17/04/2013 00:00
162,"idowebs.com",3603,-1,1,6,37285,913419,140368,10/01/2008 00:00,10/08/2013 00:00,"65.19.162.57","65.19.162.0","US","com",39,10,6,28/11/2011 00:00,20/02/2012 00:00
163,"tudienykhoa.net",270,-1,1,6,11086,12604,8928,25/09/2009 00:00,10/08/2013 00:00,"173.236.158.229","173.236.158.0","US","net",33,3,6,19/12/2011 00:00,17/07/2013 00:00
164,"globalbusinessmarketing.com",17,-1,1,6,116,740,601,18/12/2011 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,6,25/11/2011 00:00,12/12/2011 00:00
165,"tripp.org",178,-1,1,6,7456,21438,14780,29/08/2008 00:00,10/08/2013 00:00,"50.78.211.18","50.78.211.0","US","org",16,5,6,14/04/2012 00:00,17/07/2013 00:00
166,"saronde.org",90,-1,1,6,35328,5736,1925,10/07/2012 00:00,24/05/2013 00:00,"184.173.233.155","184.173.233.0","US","org",11,7,6,06/01/2012 00:00,19/06/2012 00:00
167,"techwizz.org",148,-1,1,6,4496,2043,1335,06/11/2010 00:00,26/07/2013 00:00,"199.34.228.100","199.34.228.0","US","org",12,0,6,03/12/2011 00:00,03/12/2011 00:00
168,"beautyxpose.com",2881,-1,1,6,90335,34801,20914,04/05/2009 00:00,10/08/2013 00:00,"184.168.232.1","184.168.232.0","US","com",34,18,6,28/11/2011 00:00,28/11/2011 00:00
169,"framebay.com",441,-1,1,6,6515,226746,34878,24/05/2011 00:00,10/08/2013 00:00,"213.186.33.3","213.186.33.0","FR","com",14,2,6,08/06/2012 00:00,08/06/2012 00:00
170,"quicm.net",3023,-1,1,6,19104,25059,20809,25/09/2009 00:00,10/08/2013 00:00,"69.163.146.90","69.163.146.0","US","net",29,8,6,23/12/2011 00:00,27/07/2012 00:00
171,"linkcross.info",466,-1,1,6,4331,46525,27872,09/10/2010 00:00,10/08/2013 00:00,"184.168.37.1","184.168.37.0","US","info",23,7,6,11/03/2013 00:00,09/07/2013 00:00
172,"africanlolo.com",1719,-1,1,6,32027,293417,75892,09/07/2010 00:00,25/06/2013 00:00,"199.59.243.108","199.59.243.0","US","com",16,3,6,03/01/2012 00:00,03/01/2012 00:00
173,"donyignaz.com",75,-1,1,6,1030,565,453,25/03/2010 00:00,17/12/2012 00:00,"208.91.197.101","208.91.197.0","UK","com",7,0,6,30/11/2011 00:00,08/02/2012 00:00
174,"toyboxglobal.com.au",358,-1,1,6,4037,25098,10005,05/11/2010 00:00,12/07/2013 00:00,"50.63.211.60","50.63.211.0","US","au",12,8,6,30/11/2011 00:00,30/11/2011 00:00
175,"teatropilipinas.org",114,-1,1,6,8150,4376,1990,06/03/2009 00:00,09/08/2013 00:00,"208.113.163.73","208.113.163.0","US","org",14,2,6,25/11/2011 00:00,04/12/2011 00:00
176,"kino-blog.cc",182,-1,1,6,1687,4091,1586,07/01/2010 00:00,07/08/2013 00:00,"173.83.51.67","173.83.51.0","US","cc",13,9,6,23/11/2011 00:00,23/11/2011 00:00
177,"cheapbabywalkers.org",117,-1,1,6,445,943,388,17/12/2010 00:00,21/07/2013 00:00,"50.22.131.128","50.22.131.0","US","org",8,0,6,19/06/2012 00:00,19/06/2012 00:00
178,"web3.nl",6313,-1,1,6,406926,340796,118007,14/01/2008 00:00,10/08/2013 00:00,"46.51.195.120","46.51.195.0","IE","nl",38,18,6,24/05/2012 00:00,21/07/2013 00:00
179,"sonialopes.com.br",1804,-1,1,6,15030,16684,6557,28/01/2008 00:00,08/08/2013 00:00,"80.156.86.78","80.156.86.0","DE","br",14,3,6,23/11/2011 00:00,23/11/2011 00:00
180,"hamala.org",104,-1,1,6,3624,201,152,11/10/2010 00:00,10/08/2013 00:00,"93.185.104.27","93.185.104.0","CZ","org",13,8,6,28/11/2011 00:00,24/07/2012 00:00
181,"dlpalace.org",79,-1,1,6,2131,900,840,05/07/2010 00:00,31/01/2012 00:00,"27.54.86.177","27.54.86.0","AU","org",5,0,6,24/11/2011 00:00,24/11/2011 00:00
182,"karkaworld.com",57,-1,1,6,347,285,246,09/11/2010 00:00,10/08/2013 00:00,"74.220.215.217","74.220.215.0","US","com",9,0,6,06/12/2011 00:00,19/01/2013 00:00
183,"byethost18.com",122329,231173,1,5,5580718,2289697,1037310,13/01/2008 00:00,10/08/2013 00:00,"209.190.85.126","209.190.85.0","US","com",51,32,5,28/11/2011 00:00,09/01/2012 00:00
184,"fudir.com",979,338208,1,5,19890,132857,38135,13/01/2010 00:00,30/04/2013 00:00,"192.30.33.28","192.30.33.0","US","com",12,14,5,21/12/2011 00:00,21/12/2011 00:00
185,"108digg.com",2164,445780,1,5,66521,1092095,373680,09/11/2009 00:00,10/08/2013 00:00,"27.254.33.136","27.254.33.0","TH","com",18,5,5,08/11/2011 00:00,08/11/2011 00:00
186,"allcityhost.com",2525,478903,1,5,24751,143496,74495,13/05/2009 00:00,10/08/2013 00:00,"108.162.197.253","108.162.197.0","US","com",20,12,5,25/11/2011 00:00,04/03/2012 00:00
187,"arps.org",3710,487646,1,5,348129,74074,45648,21/01/2008 00:00,10/08/2013 00:00,"159.250.23.4","159.250.23.0","US","org",35,23,5,23/11/2011 00:00,08/03/2012 00:00
188,"directoryllc.net",274,831741,1,5,1746,98666,44187,16/11/2009 00:00,10/08/2013 00:00,"108.162.198.51","108.162.198.0","US","net",21,12,5,31/07/2012 00:00,21/03/2013 00:00
189,"sonfamosos.com",9016,884017,1,5,942627,118198,79677,24/03/2008 00:00,10/08/2013 00:00,"108.174.145.182","108.174.145.0","US","com",48,15,5,05/12/2011 00:00,10/11/2012 00:00
190,"jackpotjoy-slots.com",710,-1,1,5,25451,71826,32405,02/01/2009 00:00,08/08/2013 00:00,"69.43.161.177","69.43.161.0","US","com",21,10,5,10/11/2011 00:00,10/11/2011 00:00
191,"tarif-infos.com",144,-1,1,5,2276,882,720,22/09/2008 00:00,26/02/2013 00:00,"208.73.210.155","208.73.210.0","US","com",10,5,5,26/11/2011 00:00,17/12/2011 00:00
192,"team-success.de",1309,-1,1,5,71111,6987,4935,23/01/2008 00:00,10/08/2013 00:00,"195.93.201.82","195.93.201.0","DE","de",31,24,5,04/12/2011 00:00,15/12/2011 00:00
193,"hacktheearth.com",50,-1,1,5,468,439,36,21/06/2012 00:00,25/07/2012 00:00,"64.74.223.37","64.74.223.0","US","com",10,2,5,17/07/2012 00:00,17/07/2012 00:00
194,"robertstermscheg.com",67,-1,1,5,191,219,195,14/04/2012 00:00,10/08/2013 00:00,"66.147.242.190","66.147.242.0","US","com",17,9,5,22/11/2011 00:00,19/02/2012 00:00
195,"fashionistamileurista.com",29,-1,1,5,1065,301,254,19/09/2010 00:00,20/11/2011 00:00,"80.156.86.78","80.156.86.0","DE","com",7,0,5,21/11/2011 00:00,28/11/2011 00:00
196,"make-money-like-a-maverick.com",2092,-1,1,5,147058,154123,56417,10/11/2009 00:00,10/08/2013 00:00,"67.215.66.132","67.215.66.0","US","com",21,5,5,19/11/2011 00:00,22/11/2011 00:00
197,"txmusictv.com",581,-1,1,5,13562,9103,6839,15/06/2010 00:00,29/07/2013 00:00,"174.122.150.34","174.122.150.0","US","com",23,15,5,19/11/2011 00:00,19/11/2011 00:00
198,"azurlingua-french-school.co.uk",100,-1,1,5,5978,2826,343,28/04/2011 00:00,10/08/2013 00:00,"95.143.72.9","95.143.72.0","UK","uk",18,16,5,24/11/2011 00:00,24/11/2011 00:00
199,"ffxiv-fix.com",485,-1,1,5,2166,194,123,05/01/2011 00:00,07/08/2012 00:00,"213.163.82.28","213.163.82.0","NL","com",8,3,5,13/12/2011 00:00,15/06/2012 00:00
200,"omelhorblogdomundo.com",48,-1,1,5,5398,308,199,28/05/2010 00:00,20/08/2012 00:00,"189.38.80.52","189.38.80.0","BR","com",7,0,5,20/11/2011 00:00,20/11/2011 00:00
201,"gamemaking.info",139,-1,1,5,10659,12190,5505,11/10/2011 00:00,29/01/2013 00:00,"69.43.161.151","69.43.161.0","US","info",15,0,5,19/11/2011 00:00,19/11/2011 00:00
202,"itreviewer.ru",178,-1,1,5,5442,24240,22384,19/10/2010 00:00,10/08/2013 00:00,"92.53.113.61","92.53.113.0","RU","ru",21,0,5,06/01/2012 00:00,29/01/2012 00:00
203,"host1host.com",1118,-1,1,5,245473,4956,4323,24/05/2010 00:00,10/08/2013 00:00,"173.254.28.143","173.254.28.0","US","com",25,6,5,05/12/2011 00:00,02/05/2012 00:00
204,"researchexamples.com",568,-1,1,5,5286,34388,14413,23/09/2010 00:00,10/08/2013 00:00,"66.96.147.111","66.96.147.0","US","com",21,1,5,18/11/2011 00:00,18/11/2011 00:00
205,"weddings.com.ph",806,-1,1,5,6806,153466,55008,26/09/2010 00:00,08/08/2013 00:00,"199.59.243.106","199.59.243.0","US","ph",19,0,5,09/11/2011 00:00,09/11/2011 00:00
206,"nstoyanov.com",6439,-1,1,5,125358,39096,14635,19/09/2009 00:00,01/08/2013 00:00,"193.107.36.200","193.107.36.0","BG","com",31,21,5,06/12/2011 00:00,11/08/2012 00:00
207,"day-blog.de",42,-1,1,5,37440,118,96,30/06/2013 00:00,10/08/2013 00:00,"195.225.105.124","195.225.105.0","DE","de",13,0,5,21/12/2011 00:00,19/11/2012 00:00
208,"ballarat.edu.au",31984,141446,1,4,626999,6827231,1165537,09/01/2008 00:00,10/08/2013 00:00,"141.132.88.207","141.132.88.0","AU","au",47,62,4,20/12/2011 00:00,28/01/2012 00:00
209,"badboysoftware.biz",44055,172540,1,4,701902,606946,151882,17/11/2008 00:00,10/08/2013 00:00,"182.50.148.128","182.50.148.0","SG","biz",44,25,4,06/05/2012 00:00,05/09/2012 00:00
210,"saysaid.com",5615,276129,1,4,143134,2373804,243634,21/02/2008 00:00,10/08/2013 00:00,"184.168.192.49","184.168.192.0","US","com",24,7,4,07/11/2011 00:00,07/11/2011 00:00
211,"focustkd.com",184,-1,1,4,623,882,720,25/06/2008 00:00,06/08/2013 00:00,"50.6.156.9","50.6.156.0","US","com",16,11,4,04/12/2011 00:00,16/12/2011 00:00
212,"iphonemv.info",130,-1,1,4,647,10681,4344,11/10/2011 00:00,29/07/2013 00:00,"174.120.16.7","174.120.16.0","US","info",9,2,4,30/11/2011 00:00,30/11/2011 00:00
213,"piqniq.com",1402,-1,1,4,72941,191105,79361,20/09/2009 00:00,10/08/2013 00:00,"213.186.33.2","213.186.33.0","FR","com",18,5,4,21/12/2011 00:00,14/12/2012 00:00
214,"bradyleepolygraph.com",413,-1,1,4,30502,49880,9056,06/01/2011 00:00,26/05/2013 00:00,"74.54.144.99","74.54.144.0","US","com",6,0,4,25/12/2011 00:00,20/08/2012 00:00
215,"madcowroundabout.com",1394,-1,1,4,14521,83269,12311,25/09/2010 00:00,21/01/2013 00:00,"174.132.104.201","174.132.104.0","US","com",14,2,4,05/11/2011 00:00,05/11/2011 00:00
216,"local-attorney.com",6879,-1,1,4,183733,86831,38688,24/01/2008 00:00,17/07/2013 00:00,"207.7.94.9","207.7.94.0","US","com",24,5,4,26/11/2011 00:00,27/01/2012 00:00
217,"bainrustique.nl",482,-1,1,4,2397,95605,59169,07/12/2009 00:00,10/08/2013 00:00,"85.158.203.168","85.158.203.0","NL","nl",18,3,4,05/03/2013 00:00,05/03/2013 00:00
218,"aboutjiewu.com",46,-1,1,4,257,467,367,30/05/2012 00:00,08/08/2013 00:00,"97.74.47.1","97.74.47.0","US","com",12,20,4,01/12/2011 00:00,23/12/2011 00:00
219,"originalmagazineads.com",3148,-1,1,4,59441,35204,20631,27/09/2008 00:00,22/01/2013 00:00,"192.31.186.145","192.31.186.0","US","com",16,6,4,29/11/2011 00:00,31/01/2012 00:00
220,"ceske-hry.cz",11391,-1,1,4,237818,384490,135455,13/01/2008 00:00,10/08/2013 00:00,"89.185.254.14","89.185.254.0","CZ","cz",42,18,4,23/11/2011 00:00,04/01/2012 00:00
221,"earlybreastdetection.com",231,-1,1,4,1174,137,113,02/11/2011 00:00,28/07/2013 00:00,"74.54.176.18","74.54.176.0","US","com",13,0,4,22/11/2011 00:00,22/11/2011 00:00
222,"malapolska.in",153,-1,1,4,987,46149,30801,10/12/2008 00:00,07/04/2013 00:00,"198.58.93.40","198.58.93.0","US","in",6,2,4,30/04/2012 00:00,13/07/2012 00:00
223,"wildhogs.se",130,-1,1,4,23864,2225,1793,15/06/2012 00:00,10/08/2013 00:00,"46.30.211.53","46.30.211.0","DK","se",21,2,4,24/02/2013 00:00,03/08/2013 00:00
224,"thecelebritynews.co.uk",386,-1,1,4,4533,193462,63179,09/09/2010 00:00,26/03/2013 00:00,"50.63.202.21","50.63.202.0","US","uk",9,9,4,18/11/2011 00:00,24/11/2011 00:00
225,"freedommadeez.info",165,-1,1,4,1688,1642,930,25/12/2011 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",20,0,4,25/12/2011 00:00,25/12/2011 00:00
226,"fatdesigns.co.uk",40,-1,1,4,462,68,39,24/05/2013 00:00,10/08/2013 00:00,"129.121.186.212","129.121.186.0","US","uk",7,0,4,18/12/2011 00:00,16/07/2013 00:00
227,"weheartchristchurch.com",1668,-1,1,4,18363,833,501,27/07/2012 00:00,10/08/2013 00:00,"50.28.5.155","50.28.5.0","US","com",26,2,4,01/12/2011 00:00,22/12/2011 00:00
228,"bestlasvegasbroker.com",26,-1,1,4,49,10448,5247,15/12/2009 00:00,10/08/2013 00:00,"50.23.85.2","50.23.85.0","US","com",10,5,4,18/07/2013 00:00,21/07/2013 00:00
229,"politicalcontext.org",438,-1,1,4,17486,8088,6922,27/03/2011 00:00,31/07/2013 00:00,"50.116.99.36","50.116.99.0","US","org",26,18,4,22/11/2011 00:00,01/12/2011 00:00
230,"project365.it",36,-1,1,4,85,63,21,15/06/2012 00:00,03/07/2012 00:00,"46.252.157.14","46.252.157.0","IT","it",7,0,4,15/06/2012 00:00,15/06/2012 00:00
231,"divinesueshinehealthandfitness.com",55,-1,1,4,952,551,476,23/10/2010 00:00,10/08/2013 00:00,"184.172.52.234","184.172.52.0","US","com",10,0,4,14/07/2012 00:00,23/10/2012 00:00
232,"medicalmarijuananebraska.net",140,-1,1,4,1231,5395,4821,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",22,2,4,01/04/2013 00:00,09/08/2013 00:00
233,"teregova.ro",125,-1,1,4,2237,69139,51530,28/09/2010 00:00,30/06/2013 00:00,"93.115.117.90","93.115.117.0","RO","ro",12,3,4,23/11/2011 00:00,23/11/2011 00:00
234,"hostmot.com",109,-1,1,4,1018,459,397,13/11/2008 00:00,31/07/2013 00:00,"174.122.149.62","174.122.149.0","US","com",16,3,4,14/12/2011 00:00,16/10/2012 00:00
235,"bluestarsadmissionsconsulting.com",140,-1,1,4,4156,987,845,12/11/2010 00:00,08/08/2013 00:00,"129.121.177.79","129.121.177.0","US","com",12,9,4,05/12/2011 00:00,29/02/2012 00:00
236,"chihuahuazone.com",120,-1,1,4,1294,14060,9285,28/10/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",24,0,4,20/06/2012 00:00,20/06/2012 00:00
237,"b2cmother.com",1225,-1,1,4,11862,89250,16578,14/10/2009 00:00,10/08/2013 00:00,"74.220.199.8","74.220.199.0","US","com",14,4,4,08/11/2011 00:00,08/11/2011 00:00
238,"majre.hu",261,-1,1,4,846,7426,4193,27/01/2008 00:00,08/08/2013 00:00,"62.112.194.195","62.112.194.0","HU","hu",16,10,4,21/11/2011 00:00,21/11/2011 00:00
239,"lyricstom.com",415,-1,1,4,19024,6932,3400,06/04/2011 00:00,08/08/2013 00:00,"174.36.14.146","174.36.14.0","US","com",12,0,4,01/12/2011 00:00,01/12/2011 00:00
240,"38gb.com",755,162984,1,3,16205,117120,57430,21/12/2008 00:00,10/08/2013 00:00,"108.162.197.109","108.162.197.0","US","com",30,8,3,27/02/2013 00:00,27/02/2013 00:00
241,"freeonedirectory.com",1994,171276,1,3,78115,135372,60951,27/11/2008 00:00,10/08/2013 00:00,"108.162.196.192","108.162.196.0","US","com",31,12,3,04/12/2011 00:00,08/12/2011 00:00
242,"wixade.com",12403,457914,1,3,510722,330702,168253,22/11/2008 00:00,31/07/2013 00:00,"50.116.72.79","50.116.72.0","US","com",33,2,3,01/12/2011 00:00,01/12/2011 00:00
243,"mueveme.info",2194,844667,1,3,95565,94615,67454,31/10/2009 00:00,10/08/2013 00:00,"69.89.31.93","69.89.31.0","US","info",33,12,3,28/11/2011 00:00,28/11/2011 00:00
244,"thesummerlinsite.com",156,-1,1,3,502,9630,5260,21/01/2008 00:00,10/08/2013 00:00,"50.23.85.2","50.23.85.0","US","com",20,16,3,14/07/2013 00:00,20/07/2013 00:00
245,"enht94.com",142,-1,1,3,547,17566,9674,21/09/2011 00:00,30/03/2013 00:00,"50.63.202.64","50.63.202.0","US","com",9,0,3,21/12/2011 00:00,21/12/2011 00:00
246,"nice-plastic.com",10731,-1,1,3,97034,21794,19610,27/07/2012 00:00,10/08/2013 00:00,"64.120.157.183","64.120.157.0","US","com",42,12,3,27/05/2012 00:00,27/05/2012 00:00
247,"volvo240-260register.nl",662,-1,1,3,10004,87697,51441,12/01/2008 00:00,10/08/2013 00:00,"213.247.43.31","213.247.43.0","NL","nl",23,10,3,09/10/2012 00:00,05/07/2013 00:00
248,"ironman3.org",476,-1,1,3,5448,124896,72167,01/12/2010 00:00,21/01/2013 00:00,"50.22.11.10","50.22.11.0","US","org",9,1,3,17/12/2011 00:00,07/01/2012 00:00
249,"nacpsi2009.com",289,-1,1,3,9989,638,544,16/01/2010 00:00,14/04/2012 00:00,"199.101.28.20","199.101.28.0","US","com",7,3,3,30/11/2011 00:00,07/12/2011 00:00
250,"frauen-ebooks.de",93,-1,1,3,442,2717,1234,29/04/2010 00:00,13/04/2012 00:00,"195.143.188.164","195.143.188.0","UK","de",8,0,3,14/12/2011 00:00,14/12/2011 00:00
251,"gajitgame.info",780,-1,1,3,7726,5830,3791,03/09/2010 00:00,15/04/2013 00:00,"50.63.202.93","50.63.202.0","US","info",14,0,3,23/11/2011 00:00,23/11/2011 00:00
252,"praxishomepage.de",600,-1,1,3,6681,20800,14226,20/01/2008 00:00,10/08/2013 00:00,"85.236.48.180","85.236.48.0","DE","de",25,19,3,03/07/2012 00:00,17/07/2013 00:00
253,"visuatronic.com",158,-1,1,3,3585,2786,1400,07/11/2008 00:00,24/08/2012 00:00,"67.215.66.132","67.215.66.0","US","com",7,2,3,22/11/2011 00:00,22/11/2011 00:00
254,"cmaynordesigns247.com",214,-1,1,3,4351,11488,9635,12/11/2010 00:00,10/08/2013 00:00,"108.167.177.82","108.167.177.0","US","com",19,5,3,21/11/2011 00:00,21/11/2011 00:00
255,"clickbankmarketplacefeed.com",468,-1,1,3,3253,3934,3560,01/11/2011 00:00,10/08/2013 00:00,"74.208.129.60","74.208.129.0","US","com",15,0,3,15/08/2012 00:00,13/12/2012 00:00
256,"cnt.net.pl",974,-1,1,3,22320,412333,16427,29/04/2011 00:00,10/08/2013 00:00,"178.19.106.230","178.19.106.0","PL","pl",19,3,3,22/11/2011 00:00,31/03/2012 00:00
257,"techappz32.com",2207,-1,1,3,72828,296590,77531,26/10/2010 00:00,15/09/2012 00:00,"64.74.223.38","64.74.223.0","US","com",10,6,3,23/11/2011 00:00,23/11/2011 00:00
258,"immersionfreediving.com",425,-1,1,3,6943,6211,3043,08/11/2011 00:00,09/08/2013 00:00,"98.129.229.188","98.129.229.0","US","com",29,18,3,14/12/2011 00:00,14/12/2011 00:00
259,"newjerseyhomeinspections.net",428,-1,1,3,3324,3121,1370,28/07/2011 00:00,02/01/2012 00:00,"64.202.189.170","64.202.189.0","US","net",9,1,3,11/11/2011 00:00,11/11/2011 00:00
260,"inrous.com",2373,-1,1,3,48185,186196,41899,23/01/2010 00:00,10/08/2013 00:00,"70.85.23.158","70.85.23.0","US","com",18,3,3,05/11/2011 00:00,05/11/2011 00:00
261,"cunttrumpet.com",118,-1,1,3,207,11535,2102,28/10/2011 00:00,25/04/2012 00:00,"69.43.161.174","69.43.161.0","US","com",0,0,3,21/11/2011 00:00,21/11/2011 00:00
262,"b2c-digital.com",298,-1,1,3,2718,3070,1935,15/09/2010 00:00,07/08/2013 00:00,"50.87.210.215","50.87.210.0","US","com",9,0,3,07/12/2011 00:00,07/12/2011 00:00
263,"cfd-forum.de",1947,-1,1,3,22713,184446,56589,20/10/2010 00:00,19/11/2012 00:00,"83.169.34.37","83.169.34.0","DE","de",14,3,3,27/05/2012 00:00,27/05/2012 00:00
264,"poweredwordpress.com",208,-1,1,3,2229,7415,199,07/08/2012 00:00,16/03/2013 00:00,"198.187.29.44","198.187.29.0","US","com",9,0,3,21/06/2012 00:00,27/08/2012 00:00
265,"dngeek.com",103,-1,1,3,3752,812,700,09/06/2008 00:00,01/11/2012 00:00,"72.32.28.75","72.32.28.0","US","com",7,1,3,18/12/2011 00:00,11/11/2012 00:00
266,"anakdatuk.com",3643,-1,1,3,47898,36631,30701,11/01/2008 00:00,10/08/2013 00:00,"110.4.45.74","110.4.45.0","MY","com",31,15,3,19/12/2011 00:00,20/08/2012 00:00
267,"emich.be",3017,-1,1,3,389205,6314,4157,24/01/2008 00:00,10/08/2013 00:00,"188.165.227.110","188.165.227.0","FR","be",28,29,3,30/11/2011 00:00,01/02/2012 00:00
268,"ccocr2010.org",219,-1,1,3,871,3773,2410,09/12/2009 00:00,26/02/2013 00:00,"50.97.101.209","50.97.101.0","US","org",8,2,3,19/12/2011 00:00,16/05/2012 00:00
269,"cougarenvy.com",860,-1,1,3,84045,3977,3766,17/11/2010 00:00,10/08/2013 00:00,"66.172.58.50","66.172.58.0","US","com",19,4,3,22/11/2011 00:00,22/11/2011 00:00
270,"kristofsteiner.com",312,-1,1,3,3467,1153,807,31/10/2010 00:00,10/08/2013 00:00,"212.52.166.104","212.52.166.0","HU","com",23,8,3,12/12/2011 00:00,13/07/2012 00:00
