"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_homeairlv.com","FirstLinkDate_homeairlv.com","LastLinkDate_homeairlv.com"
374,"suppon-t.com",3223,-1,1,3,16073,1792,1312,28/10/2008 00:00,10/08/2013 00:00,"59.106.13.212","59.106.13.0","JP","com",18,10,3,29/06/2011 00:00,29/06/2011 00:00
375,"artremy.com",4403,-1,1,3,21574,7623,3765,22/02/2008 00:00,10/08/2013 00:00,"176.31.228.200","176.31.228.0","FR","com",28,8,3,18/08/2011 00:00,27/10/2011 00:00
376,"okala.org",1166,-1,1,3,6248,13057,9697,15/04/2008 00:00,17/01/2012 00:00,"174.36.110.176","174.36.110.0","US","org",12,27,3,26/04/2011 00:00,26/04/2011 00:00
377,"studio-favre.com",6835,-1,1,3,107271,133,97,04/08/2008 00:00,07/08/2013 00:00,"211.10.8.200","211.10.8.0","JP","com",14,4,3,20/06/2011 00:00,20/06/2011 00:00
378,"liberatorsguild.org",18618,-1,1,3,244222,41057,27992,21/02/2010 00:00,10/08/2013 00:00,"66.147.240.178","66.147.240.0","US","org",25,2,3,19/05/2011 00:00,15/08/2011 00:00
379,"m-jak-milosc.org",5352,-1,1,3,92549,81831,69647,08/10/2008 00:00,10/08/2013 00:00,"176.9.121.235","176.9.121.0","DE","org",18,5,3,27/05/2011 00:00,02/06/2011 00:00
380,"medicalmarijuanaindiana.org",58,-1,1,3,460,4134,3569,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",17,2,3,25/02/2013 00:00,18/07/2013 00:00
381,"vend123.com",6670,-1,1,3,42691,69664,20788,07/02/2008 00:00,10/08/2013 00:00,"91.121.81.175","91.121.81.0","FR","com",16,10,3,05/11/2011 00:00,13/11/2011 00:00
382,"maravello.org.ua",2976,-1,1,3,10172,7758,2028,27/01/2010 00:00,26/05/2011 00:00,"91.200.40.8","91.200.40.0","UA","ua",9,0,3,25/04/2011 00:00,25/04/2011 00:00
383,"clipclip.org",28352,-1,1,3,7655307,7503696,1909430,21/01/2008 00:00,18/07/2013 00:00,"46.4.116.72","46.4.116.0","DE","org",36,21,3,08/11/2011 00:00,08/11/2011 00:00
384,"projectsandstuff.com",1091,-1,1,3,36933,3064,2204,21/09/2009 00:00,20/07/2013 00:00,"96.125.165.116","96.125.165.0","US","com",22,0,3,04/05/2011 00:00,18/05/2011 00:00
385,"forumon.de",43143,-1,1,3,1218644,93389,66622,01/02/2008 00:00,29/07/2013 00:00,"46.252.22.212","46.252.22.0","DE","de",20,9,3,02/06/2011 00:00,09/09/2011 00:00
386,"onlineblackjacktalk.com",10909,-1,1,3,137915,140591,29340,12/10/2009 00:00,10/08/2013 00:00,"184.168.221.43","184.168.221.0","US","com",18,0,3,07/06/2011 00:00,09/12/2011 00:00
387,"epimedic.de",10371,-1,1,3,93195,36363,13293,20/01/2008 00:00,10/08/2013 00:00,"85.13.128.105","85.13.128.0","DE","de",31,16,3,30/05/2011 00:00,27/10/2011 00:00
388,"bratpackweekend.com",11155,-1,1,3,74853,38637,23172,14/08/2010 00:00,31/07/2013 00:00,"174.120.105.188","174.120.105.0","US","com",17,2,3,30/06/2011 00:00,18/04/2012 00:00
389,"dragon-lair.de",14774,-1,1,3,98796,67631,22723,09/10/2011 00:00,02/03/2013 00:00,"85.13.135.31","85.13.135.0","DE","de",21,4,3,09/10/2011 00:00,09/10/2011 00:00
390,"ouflan.com",5111,-1,1,3,17648,8870,4210,23/04/2009 00:00,21/05/2011 00:00,"92.42.70.10","92.42.70.0","NO","com",9,0,3,20/05/2011 00:00,20/05/2011 00:00
391,"csokiforum.hu",7105,-1,1,3,34766,14981,5877,10/04/2011 00:00,29/04/2011 00:00,"78.29.1.22","78.29.1.0","RU","hu",14,5,3,01/05/2011 00:00,01/05/2011 00:00
392,"paintball-montauban.com",7827,-1,1,3,60754,15291,5741,27/03/2011 00:00,09/08/2013 00:00,"195.114.18.107","195.114.18.0","FR","com",20,4,3,26/10/2011 00:00,26/10/2011 00:00
393,"pakteens.com",9144,-1,1,3,430653,128226,37741,01/02/2008 00:00,11/01/2013 00:00,"92.42.70.10","92.42.70.0","NO","com",18,2,3,18/07/2011 00:00,18/07/2011 00:00
394,"vccchomutov.cz",6230,-1,1,3,39016,8294,3709,21/03/2008 00:00,01/08/2013 00:00,"93.91.144.111","93.91.144.0","CZ","cz",15,7,3,06/06/2011 00:00,08/10/2011 00:00
395,"pcpunk.com",43419,-1,1,3,3783426,315441,200271,18/06/2010 00:00,10/08/2013 00:00,"212.199.30.105","212.199.30.0","IL","com",24,4,3,15/06/2011 00:00,16/10/2011 00:00
396,"yourfirstcut.com",1533,-1,1,3,13929,16180,15624,14/01/2008 00:00,10/08/2013 00:00,"108.162.197.42","108.162.197.0","US","com",18,25,3,21/06/2011 00:00,03/11/2011 00:00
397,"xxxlittlebitches.com",607,-1,1,3,2686,12574,6838,23/01/2011 00:00,10/08/2013 00:00,"193.58.251.4","193.58.251.0","RU","com",18,1,3,07/07/2011 00:00,02/11/2011 00:00
398,"acrossthetable.org",3726,-1,1,3,13458,5428,2760,27/09/2009 00:00,20/05/2013 00:00,"8.5.1.36","8.5.1.0","US","org",10,6,3,20/05/2011 00:00,04/09/2011 00:00
399,"acoeug.com",9868,-1,1,3,401822,205652,76731,15/05/2008 00:00,04/08/2013 00:00,"184.168.221.30","184.168.221.0","US","com",19,5,3,20/05/2011 00:00,14/06/2011 00:00
400,"bunkbedfurniture.org",104,-1,1,3,543,2629,594,19/10/2010 00:00,20/10/2011 00:00,"70.86.12.226","70.86.12.0","US","org",7,0,3,24/11/2011 00:00,15/12/2011 00:00
401,"1dartclub.sk",5258,-1,1,3,25617,49141,25629,25/04/2008 00:00,10/08/2013 00:00,"82.208.46.79","82.208.46.0","CZ","sk",26,18,3,27/04/2011 00:00,22/11/2011 00:00
402,"voddlerinvite.com",349,-1,1,3,7813,3138,1381,12/10/2009 00:00,08/08/2013 00:00,"195.74.38.121","195.74.38.0","SE","com",16,5,3,17/11/2011 00:00,17/11/2011 00:00
403,"vivadocumentary.com",12714,-1,1,3,231313,73384,23671,07/12/2008 00:00,10/08/2013 00:00,"72.167.163.207","72.167.163.0","US","com",25,15,3,07/05/2012 00:00,21/07/2012 00:00
404,"adobeturk.com",3274,-1,1,3,102890,599693,322828,09/01/2008 00:00,10/08/2013 00:00,"207.58.160.231","207.58.160.0","US","com",25,23,3,04/05/2011 00:00,03/08/2011 00:00
405,"victoryaltar.org",6463,-1,1,3,42869,41178,16183,30/12/2009 00:00,10/08/2013 00:00,"184.154.137.146","184.154.137.0","US","org",17,9,3,21/06/2011 00:00,13/10/2011 00:00
406,"vanausa.org",14281,-1,1,3,96858,26118,10582,03/06/2009 00:00,08/08/2013 00:00,"64.14.68.73","64.14.68.0","US","org",21,4,3,13/06/2011 00:00,23/10/2011 00:00
407,"va10061.ru",8721,-1,1,3,404252,17284,11269,14/01/2009 00:00,19/03/2012 00:00,"188.120.241.9","188.120.241.0","RU","ru",10,1,3,04/06/2011 00:00,24/11/2011 00:00
408,"federationspace-rpg.com",4467,-1,1,3,164992,130084,90799,17/01/2008 00:00,29/07/2013 00:00,"198.136.50.154","198.136.50.0","US","com",16,3,3,15/10/2011 00:00,15/10/2011 00:00
409,"cdj-waltzing.be",2672,-1,1,3,12047,62890,19222,25/02/2008 00:00,09/10/2011 00:00,"199.101.28.20","199.101.28.0","US","be",9,1,3,10/05/2011 00:00,06/10/2011 00:00
410,"feen-wald.info",1797,-1,1,3,6615,7994,4870,05/09/2009 00:00,10/08/2013 00:00,"217.91.78.84","217.91.78.0","DE","info",22,6,3,25/04/2011 00:00,02/05/2011 00:00
411,"polynom.bz",3015,-1,1,3,10622,12214,4946,04/10/2009 00:00,10/01/2012 00:00,"78.31.75.20","78.31.75.0","RU","bz",10,1,3,17/05/2011 00:00,10/10/2011 00:00
412,"dmsoft-wy.com",1678,-1,1,3,33931,4285,3164,16/09/2009 00:00,10/08/2013 00:00,"69.194.160.163","69.194.160.0","US","com",14,10,3,07/07/2011 00:00,17/10/2011 00:00
413,"fussball-fans.info",13037,-1,1,3,138849,30202,11948,05/06/2008 00:00,01/07/2013 00:00,"217.118.24.25","217.118.24.0","DE","info",16,5,3,29/06/2011 00:00,25/11/2011 00:00
414,"jimjakubek.com",7402,-1,1,3,47936,7392,3075,18/02/2011 00:00,08/08/2013 00:00,"70.85.107.140","70.85.107.0","US","com",15,0,3,16/05/2011 00:00,31/10/2011 00:00
415,"paranoid-times.ru",5922,-1,1,3,83470,22234,14010,13/01/2009 00:00,10/08/2013 00:00,"178.208.83.18","178.208.83.0","RU","ru",34,3,3,04/05/2011 00:00,27/05/2011 00:00
416,"2-game.be",5089,-1,1,3,49143,10132,3956,07/01/2010 00:00,10/08/2013 00:00,"46.30.211.47","46.30.211.0","DK","be",18,5,3,04/05/2011 00:00,01/06/2011 00:00
417,"websbc.ne.jp",3044,-1,1,3,18327,332,251,12/11/2009 00:00,08/08/2013 00:00,"203.189.109.114","203.189.109.0","JP","jp",13,4,3,18/06/2011 00:00,18/06/2011 00:00
418,"hagichan-corokke.com",1841,-1,1,3,7869,69,38,08/04/2011 00:00,24/07/2013 00:00,"210.172.128.30","210.172.128.0","JP","com",14,7,3,24/05/2011 00:00,24/05/2011 00:00
419,"empyrial.net",10084,-1,1,3,51986,15337,5294,12/05/2011 00:00,18/12/2011 00:00,"173.236.128.194","173.236.128.0","US","net",12,5,3,28/10/2011 00:00,28/10/2011 00:00
420,"streetboarding.org.uk",8263,-1,1,3,62284,49790,21381,16/01/2008 00:00,02/04/2012 00:00,"67.215.66.132","67.215.66.0","US","uk",12,1,3,26/11/2011 00:00,26/11/2011 00:00
421,"nzud.jp",758,-1,1,3,3284,1422,660,09/08/2008 00:00,11/07/2013 00:00,"124.146.201.39","124.146.201.0","JP","jp",15,18,3,15/05/2011 00:00,15/05/2011 00:00
422,"eplforums.com",5985,-1,1,3,72686,190172,87317,09/11/2008 00:00,31/07/2013 00:00,"174.120.3.221","174.120.3.0","US","com",17,5,3,11/05/2011 00:00,11/05/2011 00:00
423,"eyfkah.info",1224,-1,1,3,3688,5139,1648,09/08/2008 00:00,06/01/2012 00:00,"82.165.80.112","82.165.80.0","DE","info",8,1,3,11/05/2011 00:00,05/01/2012 00:00
424,"guildofmallow.com",2818,-1,1,3,13532,10143,6620,21/09/2010 00:00,18/06/2012 00:00,"69.43.161.180","69.43.161.0","US","com",23,7,3,15/10/2011 00:00,15/10/2011 00:00
425,"gamerelax.ru",2784,-1,1,3,60175,174323,52506,14/02/2009 00:00,09/10/2012 00:00,"67.228.45.68","67.228.45.0","US","ru",10,8,3,17/07/2012 00:00,01/08/2012 00:00
426,"extremepornpass.com",66940,-1,1,3,2723472,1832859,311398,18/01/2008 00:00,04/02/2013 00:00,"67.215.66.132","67.215.66.0","US","com",24,3,3,27/07/2011 00:00,01/01/2012 00:00
427,"all4me.us",776,-1,1,3,1772,786,566,05/10/2009 00:00,09/08/2013 00:00,"184.168.192.30","184.168.192.0","US","us",10,0,3,29/04/2011 00:00,29/04/2011 00:00
428,"rexcel.com.my",20188,-1,1,3,434384,81902,30452,04/11/2010 00:00,10/08/2013 00:00,"58.26.238.173","58.26.238.0","MY","my",24,1,3,10/05/2011 00:00,21/06/2011 00:00
429,"medicalmarijuanalouisiana.net",46,-1,1,3,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,3,20/04/2013 00:00,20/07/2013 00:00
430,"kvn-pmr.ru",6188,-1,1,3,22014,8562,3849,02/07/2010 00:00,10/08/2013 00:00,"91.221.99.40","91.221.99.0","MD","ru",27,1,3,08/06/2011 00:00,27/11/2011 00:00
431,"mycardsharing.net",21088,-1,1,3,414204,299172,39081,02/08/2010 00:00,06/12/2012 00:00,"92.42.70.10","92.42.70.0","NO","net",15,3,3,16/07/2011 00:00,28/10/2011 00:00
432,"goliathlabs.com",8623,-1,1,3,57783,16754,9596,18/02/2008 00:00,10/08/2013 00:00,"208.109.139.71","208.109.139.0","US","com",29,16,3,04/11/2011 00:00,04/11/2011 00:00
433,"golfstrim.net",28154,-1,1,3,383926,985025,229404,26/04/2008 00:00,10/08/2013 00:00,"178.162.182.163","178.162.182.0","DE","net",48,9,3,20/04/2012 00:00,20/04/2012 00:00
434,"mosed.net",5186,-1,1,3,94022,153758,52801,26/01/2008 00:00,09/08/2013 00:00,"69.43.161.151","69.43.161.0","US","net",20,12,3,04/05/2011 00:00,19/09/2011 00:00
435,"ethnoswap.com",41582,-1,1,3,2162888,142622,92682,24/09/2008 00:00,09/08/2013 00:00,"69.43.161.180","69.43.161.0","US","com",34,5,3,30/05/2011 00:00,21/04/2012 00:00
436,"mobita.it",3203,-1,1,3,24462,690346,190783,12/01/2008 00:00,08/08/2013 00:00,"109.234.109.80","109.234.109.0","DE","it",28,2,3,26/05/2011 00:00,21/09/2011 00:00
437,"imobi.net",15184,-1,1,3,139452,889286,109364,04/10/2008 00:00,10/08/2013 00:00,"208.100.54.79","208.100.54.0","US","net",19,3,3,02/06/2011 00:00,01/03/2012 00:00
438,"relaxmusic.info",13147,-1,1,3,198689,43487,27620,13/02/2008 00:00,10/08/2013 00:00,"67.212.81.22","67.212.81.0","CA","info",45,12,3,26/11/2011 00:00,19/09/2012 00:00
439,"ccjnet.ne.jp",2407,-1,1,3,20601,1873463,330383,25/01/2008 00:00,10/08/2013 00:00,"211.12.232.65","211.12.232.0","JP","jp",30,27,3,06/06/2011 00:00,06/06/2011 00:00
440,"ht-pulley.com",374,-1,1,3,1688,4207,2956,01/04/2008 00:00,08/08/2013 00:00,"121.198.163.168","121.198.163.0","CN","com",10,1,3,23/05/2011 00:00,23/05/2011 00:00
441,"importhookup.com",38388,-1,1,3,1122046,264281,60374,09/01/2008 00:00,18/07/2013 00:00,"198.1.119.209","198.1.119.0","US","com",26,7,3,28/07/2011 00:00,04/11/2011 00:00
442,"koifun.com",24547,-1,1,3,440201,93279,65061,12/01/2008 00:00,10/08/2013 00:00,"97.74.144.131","97.74.144.0","US","com",23,4,3,22/04/2011 00:00,26/04/2011 00:00
443,"zuihouken.co.jp",5602,-1,1,3,200508,2203,1936,07/12/2009 00:00,09/08/2013 00:00,"210.128.29.60","210.128.29.0","JP","jp",19,11,3,17/05/2011 00:00,17/05/2011 00:00
444,"electricrockguitar.com",11466,-1,1,3,123227,22238,7633,07/04/2011 00:00,10/08/2013 00:00,"66.147.244.199","66.147.244.0","US","com",20,2,3,03/05/2011 00:00,20/12/2011 00:00
445,"trading-cards.ru",1307,-1,1,3,4798,45187,9562,29/10/2009 00:00,08/08/2013 00:00,"95.131.29.6","95.131.29.0","RU","ru",10,11,3,26/04/2011 00:00,12/08/2011 00:00
446,"myperfectwedding.ie",9302,-1,1,3,46722,24675,7954,18/07/2010 00:00,04/04/2012 00:00,"81.200.64.50","81.200.64.0","UK","ie",19,4,3,11/10/2011 00:00,11/10/2011 00:00
447,"uln-ix.ru",3234,-1,1,3,14487,15737,4646,03/11/2009 00:00,08/08/2013 00:00,"83.217.15.2","83.217.15.0","RU","ru",18,24,3,11/10/2011 00:00,11/10/2011 00:00
448,"l2clan.net",22855,-1,1,3,308196,194549,19564,20/06/2008 00:00,21/04/2013 00:00,"91.214.68.166","91.214.68.0","RU","net",20,2,3,11/10/2011 00:00,13/11/2011 00:00
449,"nanaou.jp",4797,-1,1,3,100152,310,173,25/01/2008 00:00,18/07/2013 00:00,"64.56.177.76","64.56.177.0","JP","jp",11,7,3,06/06/2011 00:00,06/06/2011 00:00
450,"herbapenawar.com",12105,-1,1,3,120435,16523,9350,29/07/2009 00:00,02/04/2012 00:00,"208.73.211.152","208.73.211.0","US","com",12,2,3,02/08/2011 00:00,29/08/2011 00:00
451,"hobara.jp",12064,-1,1,3,550300,57528,41669,28/02/2010 00:00,10/08/2013 00:00,"219.94.128.91","219.94.128.0","JP","jp",27,4,3,26/05/2011 00:00,26/05/2011 00:00
452,"lennen.net",6337,-1,1,3,77025,6062,3006,25/03/2011 00:00,03/05/2011 00:00,"213.165.79.51","213.165.79.0","DE","net",11,1,3,29/04/2011 00:00,06/05/2011 00:00
453,"dragonsfolly.net",6405,-1,1,3,45091,33497,21820,17/12/2010 00:00,10/08/2013 00:00,"46.4.114.144","46.4.114.0","DE","net",29,1,3,14/10/2011 00:00,14/10/2011 00:00
454,"cryllia.net",2779,-1,1,3,17320,8702,4153,31/07/2010 00:00,06/08/2013 00:00,"198.58.93.16","198.58.93.0","US","net",16,11,3,30/10/2011 00:00,14/11/2011 00:00
455,"fordmotorsports.com",8889,-1,1,3,50011,27807,7688,14/07/2010 00:00,10/08/2013 00:00,"66.147.240.183","66.147.240.0","US","com",19,4,3,30/10/2011 00:00,30/10/2011 00:00
456,"flawlessxl.com",10973,-1,1,3,57517,26517,12568,21/04/2009 00:00,09/04/2013 00:00,"50.63.202.75","50.63.202.0","US","com",14,2,3,12/05/2011 00:00,31/10/2011 00:00
457,"design4stars.at",15159,-1,1,3,188971,71018,20700,21/04/2008 00:00,19/07/2013 00:00,"88.84.137.151","88.84.137.0","DE","at",20,4,3,24/05/2011 00:00,17/05/2012 00:00
458,"forumacompanhantes.com.br",4948,-1,1,3,50821,19163,13098,13/08/2009 00:00,05/08/2013 00:00,"177.70.19.158","177.70.19.0","BR","br",17,0,3,10/05/2011 00:00,06/07/2011 00:00
459,"lallhospital.com",610,-1,1,3,57710,93490,32642,07/11/2009 00:00,10/08/2013 00:00,"74.119.145.26","74.119.145.0","US","com",22,16,3,12/05/2011 00:00,12/05/2011 00:00
460,"marika.co.jp",1316,-1,1,3,5938,86,71,28/01/2010 00:00,10/08/2013 00:00,"210.150.212.67","210.150.212.0","JP","jp",16,6,3,17/05/2011 00:00,17/05/2011 00:00
461,"kh.edu.tw",114501,24477,1,2,4475964,4531402,1234764,24/01/2008 00:00,10/08/2013 00:00,"163.32.250.6","163.32.250.0","TW","tw",52,39,2,01/02/2012 00:00,01/02/2012 00:00
462,"hypermart.net",241556,25340,1,2,17098007,4471128,1376870,10/01/2008 00:00,10/08/2013 00:00,"38.113.1.150","38.113.1.0","US","net",52,50,2,20/05/2011 00:00,17/06/2011 00:00
463,"pagerankresearch.com",1400,25777,1,2,652050,1487039,158674,28/03/2011 00:00,10/08/2013 00:00,"70.38.93.118","70.38.93.0","CA","com",25,17,2,24/03/2013 00:00,24/03/2013 00:00
464,"swgas.com",10689,49130,1,2,98366,9450,3686,16/01/2008 00:00,10/08/2013 00:00,"167.207.136.65","167.207.136.0","US","com",38,53,2,03/03/2012 00:00,30/06/2013 00:00
465,"ylc.edu.tw",86996,82826,1,2,6807667,3523387,1023240,24/01/2008 00:00,09/08/2013 00:00,"163.27.230.31","163.27.230.0","TW","tw",48,24,2,05/01/2012 00:00,01/02/2012 00:00
466,"pourseformer.fr",5664,92814,1,2,2332441,6832492,1130591,03/03/2008 00:00,10/08/2013 00:00,"95.131.143.145","95.131.143.0","FR","fr",45,44,2,26/05/2011 00:00,09/06/2011 00:00
467,"stedwards.edu",31456,97947,1,2,4187719,285166,159775,25/01/2008 00:00,10/08/2013 00:00,"50.56.124.87","50.56.124.0","US","edu",48,61,2,04/01/2012 00:00,09/02/2012 00:00
468,"ofcourse.us",2166,128333,1,2,770809,1165009,353210,13/01/2008 00:00,01/08/2013 00:00,"173.248.188.136","173.248.188.0","US","us",22,27,2,11/12/2011 00:00,11/12/2011 00:00
469,"gdufs.edu.cn",51042,180243,1,2,5394673,2248670,341015,12/01/2008 00:00,10/08/2013 00:00,"202.116.192.92","202.116.192.0","CN","cn",49,70,2,19/05/2011 00:00,19/05/2011 00:00
470,"cin.az",4616,227667,1,2,425410,292530,163715,30/09/2008 00:00,10/08/2013 00:00,"46.17.40.138","46.17.40.0","RU","az",38,13,2,13/05/2011 00:00,13/05/2011 00:00
471,"hool.mn",771,317535,1,2,67106,22491,13510,17/06/2008 00:00,10/08/2013 00:00,"69.41.228.48","69.41.228.0","US","mn",26,14,2,30/07/2011 00:00,02/12/2011 00:00
472,"lookmy.info",12381,383293,1,2,8570854,789395,299946,12/01/2008 00:00,10/08/2013 00:00,"217.20.175.47","217.20.175.0","UA","info",42,39,2,12/01/2012 00:00,12/01/2012 00:00
473,"everything-fine.info",5292,401954,1,2,419110,153969,111135,28/02/2009 00:00,10/08/2013 00:00,"31.22.4.98","31.22.4.0","UK","info",47,40,2,12/03/2013 00:00,22/04/2013 00:00
474,"netnutri.com",29480,426585,1,2,5274155,151640,78003,11/01/2008 00:00,10/08/2013 00:00,"209.117.230.64","209.117.230.0","US","com",49,25,2,25/10/2011 00:00,25/10/2011 00:00
475,"thatsblog.com",11122,454965,1,2,142817,365957,206819,21/08/2008 00:00,10/08/2013 00:00,"198.154.213.123","198.154.213.0","US","com",30,7,2,29/05/2011 00:00,14/06/2011 00:00
476,"inout-search.com",614,480046,1,2,3679,1760702,425495,01/08/2008 00:00,10/08/2013 00:00,"98.129.229.144","98.129.229.0","US","com",19,12,2,02/03/2012 00:00,05/05/2012 00:00
477,"geniusbot.com",767,529664,1,2,41484,1633414,450676,03/10/2009 00:00,16/06/2013 00:00,"176.9.29.235","176.9.29.0","DE","com",15,3,2,28/12/2012 00:00,03/02/2013 00:00
478,"tattoosfromthesoul.com",11727,565930,1,2,100099,179721,61680,11/01/2008 00:00,10/08/2013 00:00,"64.202.163.4","64.202.163.0","US","com",40,16,2,08/06/2012 00:00,08/06/2012 00:00
479,"efx3.com",2801,885774,1,2,36541,82743,52367,06/07/2009 00:00,10/08/2013 00:00,"199.192.203.200","199.192.203.0","US","com",29,14,2,06/12/2011 00:00,30/09/2012 00:00
480,"mankabros.com",8299,913849,1,2,103899,1643345,613028,26/01/2008 00:00,10/08/2013 00:00,"216.92.92.136","216.92.92.0","US","com",37,17,2,19/05/2011 00:00,06/06/2013 00:00
481,"forex-prosto.com",3703,914194,1,2,26642,49962,3336,21/03/2009 00:00,10/08/2013 00:00,"178.33.217.156","178.33.217.0","FR","com",9,0,2,14/06/2011 00:00,24/08/2011 00:00
482,"backpainunitedstates.com",625,928947,1,2,19596,26962,14780,25/11/2010 00:00,10/08/2013 00:00,"184.173.193.62","184.173.193.0","US","com",28,2,2,13/06/2012 00:00,13/06/2012 00:00
483,"bedroominterior.co.uk",3238,993486,1,2,67792,23333,9507,09/02/2009 00:00,02/06/2013 00:00,"208.109.181.106","208.109.181.0","US","uk",17,7,2,09/06/2012 00:00,20/09/2012 00:00
484,"ekologija.ba",2266,-1,1,2,23717,6550,3731,20/02/2008 00:00,09/08/2013 00:00,"46.4.68.178","46.4.68.0","DE","ba",23,25,2,19/05/2011 00:00,19/05/2011 00:00
485,"aboutjiewu.com",46,-1,1,2,257,467,367,30/05/2012 00:00,08/08/2013 00:00,"97.74.47.1","97.74.47.0","US","com",12,20,2,01/12/2011 00:00,23/12/2011 00:00
486,"keisoshikai.gr.jp",5857,-1,1,2,289352,1051375,261119,23/07/2008 00:00,10/08/2013 00:00,"202.212.233.180","202.212.233.0","JP","jp",40,11,2,23/04/2011 00:00,23/04/2011 00:00
487,"asppi.org",2979,-1,1,2,76883,4344,3239,24/01/2008 00:00,10/08/2013 00:00,"66.7.212.49","66.7.212.0","US","org",20,13,2,26/04/2011 00:00,02/05/2011 00:00
488,"adept-bg.com",894,-1,1,2,32427,10741,3932,05/10/2008 00:00,30/07/2013 00:00,"91.215.216.36","91.215.216.0","BG","com",13,0,2,19/12/2011 00:00,19/12/2011 00:00
489,"mods.jp",115690,-1,1,2,8426921,2093571,957051,09/01/2008 00:00,10/08/2013 00:00,"210.157.9.69","210.157.9.0","JP","jp",51,38,2,22/04/2011 00:00,06/05/2011 00:00
490,"vikingscentral.com",11105,-1,1,2,385181,105905,28000,16/10/2011 00:00,10/08/2013 00:00,"68.178.232.99","68.178.232.0","US","com",27,9,2,01/05/2011 00:00,24/08/2011 00:00
491,"szu.at",8242,-1,1,2,32967,20655,7790,25/01/2008 00:00,10/08/2013 00:00,"88.198.51.23","88.198.51.0","DE","at",28,23,2,16/10/2011 00:00,21/10/2011 00:00
492,"cochrist.org",10616,-1,1,2,126924,23918,8692,24/02/2008 00:00,27/07/2013 00:00,"63.247.82.210","63.247.82.0","US","org",24,15,2,22/08/2012 00:00,05/09/2012 00:00
493,"tdcshop.com",93,-1,1,2,1046,8042,6110,02/12/2009 00:00,11/02/2012 00:00,"107.20.206.69","107.20.206.0","US","com",7,11,2,17/11/2011 00:00,17/11/2011 00:00
494,"hydw.org",19551,-1,1,2,148275,42975,13124,03/01/2011 00:00,04/09/2012 00:00,"141.8.224.67","141.8.224.0","CH","org",14,2,2,15/11/2011 00:00,15/11/2011 00:00
495,"i-pp-a.org",22736,-1,1,2,1389539,264350,166062,06/08/2009 00:00,06/08/2013 00:00,"174.120.10.66","174.120.10.0","US","org",48,17,2,21/10/2011 00:00,15/11/2011 00:00
496,"teenville.tv",5593,-1,1,2,62559,352021,93947,17/09/2008 00:00,19/06/2012 00:00,"216.172.104.5","216.172.104.0","US","tv",17,21,2,25/03/2012 00:00,05/04/2012 00:00
497,"jlsweb.org",6194,-1,1,2,54731,28615,19792,23/11/2009 00:00,10/08/2013 00:00,"174.37.229.120","174.37.229.0","US","org",13,9,2,13/10/2011 00:00,13/10/2011 00:00
498,"feromon.ws",8728,-1,1,2,63005,36377,11796,14/06/2010 00:00,29/01/2013 00:00,"195.78.228.21","195.78.228.0","ES","ws",12,7,2,11/06/2011 00:00,06/01/2012 00:00
499,"teamcrypt.com",17401,-1,1,2,276851,69035,12485,06/07/2009 00:00,03/01/2013 00:00,"199.34.228.100","199.34.228.0","US","com",15,3,2,11/05/2011 00:00,04/08/2011 00:00
500,"degital-monkey.net",6654,-1,1,2,25720,17671,7096,15/04/2009 00:00,30/07/2013 00:00,"202.172.28.154","202.172.28.0","JP","net",17,8,2,05/05/2011 00:00,16/11/2011 00:00
501,"eforumz.net",17467,-1,1,2,308043,211151,90200,15/08/2010 00:00,10/08/2013 00:00,"46.252.207.1","46.252.207.0","NL","net",34,4,2,04/05/2013 00:00,04/05/2013 00:00
502,"kochi-art.org",2376,-1,1,2,13375,543,276,06/09/2008 00:00,10/08/2013 00:00,"157.7.132.205","157.7.132.0","JP","org",21,13,2,02/05/2011 00:00,16/05/2011 00:00
503,"discountplumbers.net",1819,-1,1,2,38607,162669,42029,12/08/2010 00:00,19/07/2013 00:00,"69.43.161.170","69.43.161.0","US","net",21,3,2,27/11/2011 00:00,27/11/2011 00:00
504,"ammtas.com",10891,-1,1,2,60811,10162,4600,24/08/2009 00:00,09/08/2013 00:00,"82.98.160.27","82.98.160.0","ES","com",16,15,2,22/11/2011 00:00,22/11/2011 00:00
505,"lens-basket.org",14476,-1,1,2,74455,45158,17263,05/07/2008 00:00,10/08/2013 00:00,"109.234.161.88","109.234.161.0","FR","org",23,10,2,24/07/2012 00:00,24/07/2012 00:00
506,"discoverstlucia.net",126,-1,1,2,439,4115,3145,04/12/2010 00:00,09/08/2013 00:00,"94.229.167.70","94.229.167.0","UK","net",15,5,2,05/12/2011 00:00,05/12/2011 00:00
507,"amgforums.com",11009,-1,1,2,86996,530550,75165,28/10/2009 00:00,29/04/2013 00:00,"72.29.64.222","72.29.64.0","US","com",17,7,2,06/07/2011 00:00,24/08/2011 00:00
508,"kackad.kz",10989,-1,1,2,876090,545901,256765,24/01/2008 00:00,10/08/2013 00:00,"195.16.88.147","195.16.88.0","UA","kz",37,9,2,09/02/2012 00:00,09/02/2012 00:00
